ID,Female,Age,Temp_Ishin
1,0,44,NA
2,1,32,50
3,1,53,20
4,1,22,0
5,1,27,NA
6,1,28,NA
7,0,28,30
8,1,45,NA
9,1,33,50
10,0,30,NA
11,1,22,NA
12,0,25,70
13,0,33,30
14,0,31,10
15,0,53,50
16,0,44,0
17,0,22,30
18,0,70,80
19,0,50,20
20,1,59,NA
21,1,51,NA
23,1,45,NA
24,0,20,30
25,0,59,NA
26,1,35,80
27,0,70,10
28,1,52,50
29,0,48,NA
30,0,70,NA
31,1,31,NA
32,0,22,NA
33,1,42,60
34,0,36,NA
35,1,49,NA
36,1,59,10
37,0,36,30
38,1,72,30
39,0,61,30
40,0,58,60
41,1,40,80
42,1,74,50
43,0,42,60
44,0,42,100
45,0,71,50
46,0,51,90
47,0,39,NA
48,0,43,50
49,0,61,40
50,0,60,50
51,0,69,40
52,0,50,0
53,0,52,NA
54,0,47,40
55,0,63,10
56,0,36,NA
57,0,37,40
58,0,46,50
59,0,39,20
60,0,49,NA
61,0,70,70
62,1,59,30
63,1,44,NA
64,0,29,50
65,0,42,80
66,1,75,70
67,1,40,60
68,0,66,60
69,0,26,50
70,0,48,40
71,1,53,NA
72,1,31,20
73,0,47,NA
74,0,45,0
75,0,33,0
76,0,49,NA
77,0,33,40
78,1,60,NA
79,0,60,30
80,1,74,20
81,1,21,NA
82,0,59,10
83,1,28,70
84,0,60,20
85,0,50,10
86,0,46,20
87,0,48,70
88,1,68,NA
89,1,75,NA
90,1,48,30
91,0,35,60
92,1,54,NA
93,0,53,20
94,1,64,NA
95,0,59,NA
96,1,29,NA
97,1,70,NA
98,0,43,40
99,0,68,50
100,0,66,60
101,0,54,NA
102,0,39,50
103,0,26,20
104,1,48,NA
105,0,30,60
107,0,61,70
108,1,33,80
109,0,69,50
110,1,57,30
112,0,71,80
113,0,36,40
114,0,61,50
115,1,21,20
116,1,69,50
117,1,77,10
118,0,70,0
119,1,67,NA
120,0,56,10
121,0,37,40
122,1,75,60
123,1,60,40
124,1,50,20
125,0,62,60
126,1,48,NA
127,0,47,50
128,0,41,50
129,0,70,50
130,1,41,10
131,0,44,70
132,0,55,60
133,0,65,90
134,0,73,20
135,0,64,50
136,1,43,NA
137,1,60,50
138,1,49,60
139,0,56,30
140,1,25,20
141,0,36,40
142,0,60,60
143,0,46,50
144,1,70,NA
145,0,58,30
146,0,61,60
147,0,44,50
148,0,67,NA
149,1,34,NA
150,0,73,50
151,1,34,NA
152,1,19,0
153,1,71,NA
154,1,53,NA
155,1,35,70
156,0,74,0
157,0,29,60
158,1,30,NA
159,1,72,10
160,0,18,10
161,0,52,50
162,0,54,0
163,1,64,NA
164,1,29,50
165,1,19,NA
166,1,37,NA
167,0,60,50
168,0,45,0
169,0,29,80
170,0,67,70
171,0,27,NA
172,1,72,60
173,1,26,NA
174,1,47,70
175,0,64,30
176,1,27,NA
177,1,55,NA
178,1,72,90
179,0,61,60
180,0,49,NA
181,0,59,60
182,1,25,NA
183,0,29,0
184,0,34,60
185,0,65,10
186,1,64,60
187,0,64,10
188,0,70,50
189,0,52,0
190,0,47,NA
191,0,56,20
192,0,48,NA
193,0,57,NA
194,0,34,50
195,0,65,0
196,1,54,30
197,1,51,70
198,0,77,70
199,1,44,10
200,0,46,NA
201,0,49,40
202,0,28,30
203,1,26,60
204,1,34,NA
205,1,33,0
206,1,67,40
207,0,71,20
208,1,41,NA
209,0,63,40
210,0,31,40
211,0,39,0
212,1,74,50
213,0,71,NA
214,0,62,10
215,0,38,40
216,0,29,50
217,0,74,10
218,0,67,60
219,1,69,50
220,1,48,NA
221,0,71,40
222,0,44,10
223,1,46,NA
224,1,54,NA
225,0,43,70
226,0,28,NA
227,0,78,0
228,1,27,50
229,0,51,NA
230,0,57,NA
231,1,44,40
232,0,43,40
233,0,43,70
234,0,64,70
235,0,72,20
236,1,62,10
237,0,60,30
238,0,73,40
239,0,76,40
240,0,47,30
241,0,32,50
242,0,58,10
243,1,51,100
244,0,52,10
245,1,71,NA
246,0,71,50
247,1,70,50
248,0,36,90
249,1,60,0
250,0,53,20
251,0,44,NA
252,1,22,NA
253,1,47,50
254,1,66,40
255,1,62,50
256,1,38,60
257,1,52,50
258,0,54,60
259,1,41,40
260,0,43,80
261,0,75,0
262,0,20,70
263,1,37,NA
264,1,79,100
265,1,41,70
266,1,50,30
267,0,45,NA
268,1,60,40
269,0,21,NA
270,1,73,0
271,1,61,40
272,1,73,10
273,1,46,60
274,0,77,80
275,0,54,0
276,0,52,50
277,1,28,NA
278,0,41,NA
279,0,31,50
280,1,71,50
281,0,61,50
282,1,35,NA
283,0,29,80
284,1,70,80
285,1,66,50
286,0,22,NA
287,1,30,0
288,1,52,60
289,1,24,40
290,0,75,70
291,1,63,80
292,0,72,70
293,0,25,60
294,0,29,70
295,0,35,NA
296,0,23,NA
297,0,71,60
298,1,72,30
299,1,61,40
300,1,69,70
301,0,53,30
302,0,37,NA
303,0,73,80
304,1,26,10
305,1,72,60
306,1,27,NA
307,0,47,20
308,1,27,30
309,1,72,30
310,1,41,NA
311,1,76,0
312,0,55,50
313,1,68,NA
314,1,72,70
315,1,53,50
316,1,74,NA
317,0,35,0
318,1,50,0
319,0,39,0
320,1,46,NA
321,0,36,60
322,0,53,50
323,1,41,NA
324,0,34,40
325,0,51,60
326,0,75,50
327,1,70,40
328,1,59,NA
329,1,77,70
330,1,50,0
331,1,60,80
332,1,74,60
333,1,46,NA
334,1,21,40
335,0,52,60
336,0,23,50
337,0,79,60
338,0,36,40
339,0,34,40
340,1,64,50
342,1,78,30
343,1,46,50
344,1,30,NA
345,1,46,50
346,0,63,80
347,1,52,40
348,1,49,30
349,1,74,70
350,1,60,50
351,1,55,NA
352,1,60,50
353,0,25,50
354,0,37,50
355,0,72,NA
356,0,47,70
357,1,27,NA
358,1,62,20
359,0,75,40
360,1,43,NA
361,0,67,60
362,1,26,NA
363,1,45,NA
364,1,45,NA
365,0,34,10
366,1,72,50
367,1,60,30
368,0,41,60
369,0,65,60
370,1,58,NA
371,0,57,80
372,0,71,0
373,1,65,60
374,1,50,NA
375,0,74,50
376,0,51,10
377,0,58,50
378,1,69,10
379,1,44,NA
380,1,34,10
381,0,64,70
382,0,26,60
383,1,59,50
384,0,74,70
385,0,70,0
386,0,35,NA
387,0,34,60
388,1,73,90
389,1,18,NA
390,0,69,NA
391,0,67,60
392,0,28,30
394,0,70,50
395,0,40,60
396,1,43,NA
397,1,29,30
398,1,61,10
399,0,49,70
400,0,72,40
401,0,74,40
402,1,68,40
403,1,73,30
404,0,28,40
405,1,37,30
406,0,77,0
407,1,78,50
408,1,32,50
409,0,62,60
410,1,36,NA
411,0,63,70
412,1,71,40
413,0,70,30
414,1,40,100
415,0,63,0
416,1,60,20
417,0,67,70
418,1,48,60
419,0,68,10
420,1,50,60
421,1,41,50
422,1,45,0
423,1,60,20
424,1,55,50
425,0,35,70
426,1,36,NA
427,1,57,40
428,1,36,NA
429,0,47,0
430,1,72,50
431,0,70,30
432,0,56,70
433,1,71,NA
434,0,63,50
435,0,39,80
436,0,47,0
437,0,46,70
438,0,52,NA
439,1,63,10
440,0,45,NA
441,0,72,50
442,0,45,NA
443,0,74,10
444,1,51,20
445,1,36,NA
446,1,54,50
447,1,52,40
448,0,49,NA
449,1,65,40
450,0,44,NA
451,0,65,60
452,0,72,50
453,0,29,NA
454,0,71,0
455,1,69,10
456,1,71,50
457,1,63,60
458,0,29,30
459,0,48,0
460,0,57,NA
461,0,24,40
462,1,31,50
463,1,60,40
464,0,40,60
465,1,67,0
466,0,49,50
467,0,52,80
468,0,22,NA
469,1,65,NA
470,0,26,50
471,0,72,50
472,0,70,50
473,1,29,40
474,0,60,70
475,0,70,70
476,0,66,60
477,0,52,40
478,0,65,70
479,1,38,50
480,0,54,20
481,0,55,60
482,0,20,100
483,0,31,70
484,1,70,30
485,0,66,70
486,0,70,0
487,0,63,30
488,1,61,30
489,1,51,80
490,1,23,90
491,0,77,60
492,0,55,NA
493,0,48,50
494,1,70,NA
495,0,45,NA
497,1,27,NA
498,1,56,NA
499,1,74,100
500,1,46,50
501,0,76,40
502,0,29,30
503,1,73,0
504,1,61,60
505,0,56,NA
506,0,30,50
507,1,61,60
508,1,42,NA
509,0,35,80
510,0,55,50
511,0,71,70
512,0,38,50
513,0,70,70
514,1,79,70
515,1,67,50
516,1,78,100
517,0,73,NA
518,1,33,NA
519,0,34,30
520,0,46,50
521,1,79,70
522,0,72,50
523,0,61,20
524,1,72,20
525,1,71,30
526,1,37,20
527,1,33,50
528,1,41,50
529,0,24,80
530,1,57,20
531,0,74,60
532,1,48,50
533,1,22,30
534,1,18,NA
535,0,67,20
536,0,43,40
537,0,32,60
538,1,67,50
539,1,75,NA
540,1,47,NA
541,1,44,30
542,0,53,20
543,0,77,60
544,0,70,30
545,1,50,40
546,0,21,30
547,0,35,70
548,0,45,70
549,0,68,50
550,0,73,30
551,0,73,20
552,0,35,20
553,0,53,60
554,1,71,60
555,1,73,50
556,0,57,40
557,1,49,50
558,0,36,60
559,0,51,10
560,0,42,10
561,1,53,100
562,1,42,70
563,0,35,90
564,1,27,NA
565,0,61,NA
566,1,72,50
567,1,63,0
568,0,66,40
569,0,55,40
570,1,56,50
571,0,56,NA
572,0,53,0
573,1,63,40
574,0,79,30
575,1,60,30
576,1,38,NA
577,0,79,80
578,0,70,30
579,0,54,10
580,0,70,0
581,1,44,NA
582,1,71,0
583,0,40,60
584,1,42,40
585,0,56,0
586,0,23,40
587,0,69,40
588,1,39,0
589,1,43,30
590,0,59,50
591,1,33,40
592,1,28,NA
593,1,45,70
594,1,24,NA
595,0,41,0
596,0,53,30
597,0,60,50
598,0,26,0
599,0,66,0
600,0,36,NA
601,1,42,NA
602,1,37,50
603,0,47,40
604,1,52,20
605,1,47,20
606,0,76,40
607,1,59,40
608,1,28,40
609,1,65,60
610,0,20,NA
611,0,61,40
612,0,61,NA
613,1,38,50
614,1,73,70
615,0,29,NA
616,1,55,40
617,0,75,NA
618,0,73,50
619,0,48,50
620,1,54,80
621,0,56,60
622,1,22,NA
623,0,38,60
624,0,28,70
625,1,66,80
626,1,77,60
627,1,61,30
628,0,78,100
629,0,73,NA
630,0,71,10
632,0,72,10
633,1,55,30
634,0,54,60
635,1,39,60
636,1,71,40
637,1,26,40
638,0,76,30
639,1,57,60
640,0,42,30
641,1,31,NA
642,0,66,30
643,0,62,20
644,0,50,30
645,0,47,40
646,1,68,0
647,1,29,0
648,0,67,NA
649,1,48,20
650,0,74,80
651,1,75,NA
652,1,72,50
653,0,64,40
654,0,73,20
655,0,30,NA
656,0,61,30
657,1,64,30
658,1,45,50
659,0,65,NA
660,0,37,NA
661,0,26,80
662,0,70,40
663,0,52,50
664,0,40,40
665,1,30,NA
666,0,79,30
667,1,71,40
668,1,70,80
669,1,39,NA
670,0,79,30
671,1,75,50
672,0,41,20
673,0,72,40
674,1,45,20
675,0,50,60
676,0,24,NA
677,0,48,60
678,0,35,20
679,0,38,30
680,0,58,0
681,1,71,50
682,0,28,60
683,1,50,40
684,0,60,10
685,0,78,40
686,0,71,70
687,0,41,50
688,1,49,NA
689,0,40,0
690,0,72,60
691,0,30,NA
692,1,39,NA
693,0,72,50
694,1,43,60
695,0,48,50
696,0,71,60
697,1,20,NA
698,1,60,60
699,1,19,NA
700,1,65,60
701,1,67,40
702,0,36,20
703,1,19,NA
704,0,24,20
705,1,76,60
706,0,52,60
707,0,25,0
708,0,70,80
709,1,46,0
710,0,37,60
711,1,29,NA
712,0,74,60
713,0,49,70
714,0,24,NA
715,1,72,NA
716,0,43,50
717,1,52,40
718,1,25,50
719,0,69,40
720,0,66,50
722,1,43,NA
723,0,28,10
724,1,72,70
725,0,26,0
726,0,47,40
727,0,41,50
728,0,69,50
729,0,49,60
730,1,44,60
731,0,50,0
732,0,28,70
733,1,61,70
734,0,72,20
735,1,54,70
736,1,47,30
737,1,70,40
738,0,26,0
739,1,78,70
740,0,36,50
741,0,65,80
742,1,72,40
743,0,72,40
744,0,43,NA
745,0,73,70
746,0,53,0
747,0,67,50
748,0,77,80
749,0,71,30
750,0,73,60
751,0,51,80
752,1,65,40
753,1,66,NA
754,0,26,50
755,0,37,10
756,0,48,80
757,1,72,40
758,0,24,60
759,1,58,60
760,1,78,40
761,0,65,40
762,0,40,60
763,0,43,20
764,1,21,NA
765,1,51,0
766,1,53,40
767,0,57,50
768,1,36,NA
769,0,68,40
770,1,36,90
771,0,52,80
772,0,54,10
773,0,47,10
774,1,45,50
775,1,73,0
776,1,73,60
778,0,39,20
779,1,50,NA
780,1,57,30
781,1,43,NA
782,0,27,90
783,0,43,NA
784,1,67,20
785,0,53,NA
786,0,39,40
787,1,28,50
788,0,49,NA
789,1,37,NA
790,1,19,NA
791,1,22,40
792,1,57,NA
793,1,39,40
794,1,71,20
795,1,32,NA
796,0,26,NA
797,0,31,10
798,0,50,60
799,0,41,50
800,0,73,50
801,1,40,50
802,0,47,10
803,0,47,80
804,1,49,NA
805,0,46,80
806,0,52,60
807,0,62,100
808,0,61,40
809,1,19,30
810,0,58,10
811,0,25,40
812,0,26,60
813,0,29,50
814,1,37,10
815,0,38,10
816,0,75,NA
817,1,50,70
818,1,54,40
819,1,69,NA
820,0,37,50
821,1,50,10
822,1,70,NA
823,0,47,NA
824,1,63,0
825,1,43,NA
826,0,44,50
827,1,64,50
828,1,51,50
829,0,35,20
830,1,28,80
831,0,72,10
832,1,77,NA
833,0,37,30
834,0,39,50
835,0,34,NA
836,0,52,50
837,0,47,0
838,0,66,60
839,1,72,40
840,0,38,NA
841,0,59,10
842,1,41,20
843,1,20,50
844,1,34,NA
845,1,49,10
846,0,44,80
847,0,71,40
848,1,24,50
849,0,65,70
850,0,74,NA
851,1,27,100
852,0,39,10
853,0,37,60
854,1,59,NA
855,0,27,NA
856,1,56,NA
857,0,45,40
858,1,39,50
859,1,24,NA
860,1,52,NA
861,1,52,50
862,1,26,NA
863,0,27,60
864,1,59,30
865,0,48,0
866,0,49,NA
867,0,46,80
868,0,45,0
869,0,68,30
870,0,40,40
871,1,37,80
872,1,41,0
873,0,46,NA
874,0,23,0
875,0,61,50
876,0,51,NA
877,0,42,10
878,1,46,60
879,0,72,0
880,0,28,0
881,0,51,80
882,1,38,90
883,0,21,NA
884,0,44,60
885,0,65,70
886,0,47,50
887,0,60,60
888,0,29,80
889,1,29,60
890,1,26,70
891,0,43,60
892,1,27,NA
893,0,74,0
894,0,55,80
895,1,29,NA
896,1,24,50
897,1,59,50
898,1,56,50
899,1,52,50
900,1,72,NA
901,1,47,NA
902,1,51,NA
903,1,64,NA
904,0,37,NA
905,0,27,60
906,0,73,0
907,0,61,30
908,0,45,40
909,1,25,70
910,0,65,30
911,1,25,50
912,0,32,60
913,1,28,NA
914,1,74,10
915,1,18,0
916,1,46,40
917,1,45,20
918,0,25,60
919,1,39,60
920,0,27,NA
921,1,70,NA
922,1,23,80
923,1,49,50
924,1,23,40
925,0,60,60
926,0,21,NA
927,0,72,40
928,1,22,NA
929,0,47,30
930,0,40,30
931,1,29,NA
932,1,54,60
933,0,35,30
934,1,58,NA
935,0,23,NA
936,0,49,0
937,0,24,50
938,0,56,0
939,0,54,40
940,1,70,50
941,0,29,NA
942,0,70,0
943,1,51,80
944,0,59,20
945,1,27,30
946,0,25,50
947,0,48,50
948,1,71,NA
949,0,61,20
950,0,48,30
951,0,41,80
952,1,24,10
953,0,24,10
954,0,31,30
955,0,50,50
956,0,31,60
957,0,52,NA
958,0,59,70
959,1,51,50
960,0,72,60
961,0,59,80
962,1,51,NA
963,0,27,40
964,1,46,0
965,1,28,NA
966,1,34,50
967,1,71,60
968,0,49,60
969,0,51,40
970,0,20,NA
971,0,42,50
972,1,33,NA
973,0,67,20
974,1,20,NA
975,1,73,60
976,1,73,60
977,0,47,50
978,0,27,20
979,1,58,50
980,1,48,NA
981,0,73,40
982,0,25,NA
983,1,48,10
984,1,58,20
985,1,61,50
986,1,59,50
987,0,63,70
988,0,51,NA
989,0,54,50
990,0,59,100
991,0,26,60
992,0,32,30
993,0,43,20
994,0,59,30
995,1,27,NA
996,0,38,30
997,1,57,60
998,0,46,70
999,0,23,NA
1000,1,31,40
1001,0,77,50
1002,0,29,NA
1003,0,29,70
1004,1,32,NA
1005,0,23,90
1006,0,63,60
1007,0,24,20
1008,0,57,0
1009,1,53,50
1010,0,59,40
1011,1,70,60
1012,1,34,10
1013,0,45,50
1014,0,45,40
1015,1,46,60
1016,0,53,NA
1017,1,79,40
1018,1,24,NA
1019,1,31,NA
1020,1,18,NA
1021,1,29,50
1022,1,31,NA
1023,1,69,30
1024,1,33,NA
1025,1,25,NA
1026,0,58,40
1027,0,53,NA
1028,1,28,80
1029,0,38,50
1030,1,58,NA
1031,1,47,10
1032,1,58,50
1033,1,63,60
1034,0,40,50
1035,1,42,20
1036,1,45,NA
1037,1,28,50
1038,1,69,50
1039,0,33,40
1040,1,73,40
1041,1,72,0
1042,0,46,70
1043,0,47,10
1044,0,27,NA
1045,1,50,20
1046,1,33,30
1047,0,25,50
1048,1,45,NA
1049,1,63,30
1050,0,38,30
1051,0,38,40
1052,1,33,20
1053,1,30,0
1054,0,48,50
1055,0,33,70
1056,1,71,50
1057,1,48,50
1058,1,29,40
1059,0,44,0
1060,1,26,70
1061,1,29,20
1062,1,58,NA
1063,0,43,0
1064,1,60,NA
1065,1,75,NA
1066,1,18,NA
1067,1,52,50
1068,1,45,80
1069,0,28,NA
1070,1,30,NA
1071,0,29,60
1072,1,30,50
1073,0,51,60
1074,0,52,80
1075,0,49,40
1076,1,62,0
1077,1,37,30
1078,1,35,NA
1079,1,22,40
1080,1,40,30
1081,1,34,40
1082,1,21,NA
1083,0,46,NA
1084,0,24,NA
1085,1,40,NA
1086,1,37,NA
1087,0,57,50
1088,1,53,50
1089,1,46,NA
1090,1,28,NA
1091,0,51,10
1092,0,28,30
1093,1,27,NA
1094,1,37,30
1095,1,68,40
1096,0,60,50
1097,0,63,30
1098,0,26,70
1099,1,51,70
1100,0,73,20
1101,0,25,0
1102,0,70,40
1103,0,61,0
1104,1,57,NA
1105,1,25,50
1106,1,62,NA
1107,1,40,50
1108,0,25,50
1109,1,24,40
1110,0,45,NA
1111,0,58,40
1112,1,29,NA
1113,0,28,50
1114,1,44,10
1115,0,45,30
1116,1,29,40
1117,0,41,70
1118,0,32,70
1119,1,36,50
1120,0,74,30
1121,0,37,60
1122,1,24,NA
1123,1,50,20
1124,0,62,50
1125,1,42,0
1126,0,25,NA
1127,1,69,60
1128,0,40,NA
1129,1,58,60
1130,0,48,20
1131,1,27,0
1132,1,52,50
1133,1,34,NA
1134,1,66,0
1135,0,31,40
1136,1,65,0
1137,0,29,0
1138,1,54,NA
1139,1,60,0
1140,1,48,NA
1141,1,52,50
1142,1,35,20
1143,1,52,50
1144,0,70,40
1145,1,70,20
1146,0,34,NA
1147,0,18,40
1148,1,51,0
1149,1,22,NA
1150,0,48,40
1151,1,33,NA
1152,1,21,NA
1153,1,39,NA
1154,1,62,0
1155,0,46,NA
1156,0,54,20
1157,1,34,NA
1158,1,28,70
1159,0,49,60
1160,1,44,80
1161,0,54,70
1162,1,73,80
1163,1,43,NA
1164,0,41,NA
1165,0,59,0
1166,0,37,90
1167,0,44,70
1168,0,31,50
1169,1,32,0
1170,1,34,50
1171,0,32,30
1172,1,24,70
1173,0,28,NA
1174,0,49,10
1175,1,40,20
1176,1,48,20
1177,0,25,NA
1178,0,54,80
1179,0,45,20
1180,1,48,30
1181,1,48,NA
1182,0,45,60
1183,1,62,NA
1184,1,42,20
1185,0,40,70
1186,1,53,NA
1187,0,51,NA
1188,0,52,0
1189,0,67,40
1190,0,48,40
1191,0,34,70
1192,1,51,70
1193,0,25,NA
1194,1,47,NA
1195,0,49,40
1196,1,24,50
1197,0,28,NA
1198,1,61,20
1199,0,53,40
1200,0,19,70
1201,0,29,20
1202,1,56,NA
1203,1,73,NA
1204,0,24,NA
1205,0,37,70
1206,0,55,70
1207,1,32,60
1208,1,28,40
1209,1,69,60
1210,0,27,NA
1211,1,51,0
1212,1,24,30
1213,0,48,80
1214,1,52,60
1215,0,64,60
1216,0,61,NA
1217,1,49,50
1218,0,24,30
1219,1,41,60
1220,0,47,60
1221,1,24,NA
1222,1,37,70
1223,0,34,50
1224,0,29,70
1225,0,59,60
1226,1,29,50
1227,1,29,50
1228,0,55,20
1229,0,47,50
1230,1,52,30
1231,1,27,60
1232,1,49,10
1233,1,54,30
1234,0,41,30
1235,0,21,50
1236,0,73,60
1237,0,32,10
1238,0,41,70
1239,0,33,NA
1240,0,48,60
1241,0,26,NA
1242,1,40,10
1243,1,34,NA
1244,0,39,30
1245,1,20,10
1246,0,46,50
1247,0,32,30
1248,0,60,30
1249,1,43,NA
1250,1,32,NA
1251,1,63,NA
1252,1,56,NA
1253,0,45,NA
1254,1,33,NA
1255,1,57,30
1256,1,22,NA
1257,0,54,NA
1258,0,26,100
1259,1,58,NA
1260,0,25,20
1261,1,49,100
1262,1,31,50
1263,1,25,50
1264,1,49,50
1265,0,42,10
1266,1,25,40
1267,0,28,NA
1268,1,33,NA
1269,0,28,0
1270,0,38,60
1271,1,72,70
1272,1,64,50
1273,1,62,NA
1274,1,34,90
1275,1,41,60
1276,0,42,60
1277,0,64,10
1278,0,25,30
1279,1,21,60
1280,0,28,60
1281,1,43,0
1282,0,38,40
1283,0,22,NA
1284,1,47,NA
1285,1,50,50
1286,0,54,60
1287,0,70,40
1288,0,44,50
1291,0,53,60
1292,0,33,60
1293,1,47,0
1294,0,53,50
1295,0,50,NA
1296,0,62,60
1297,1,47,60
1298,1,70,NA
1299,1,43,NA
1300,1,31,NA
1301,0,49,40
1302,1,69,10
1303,0,60,90
1304,1,30,NA
1305,1,53,40
1306,0,34,60
1307,0,29,30
1308,1,66,20
1309,0,35,30
1310,0,55,NA
1311,0,48,0
1312,1,59,50
1313,1,69,50
1314,0,54,20
1315,0,71,NA
1316,0,45,60
1317,1,31,0
1318,0,55,20
1319,0,71,0
1320,0,66,40
1321,1,23,50
1322,0,51,10
1323,0,30,30
1324,1,41,50
1325,1,33,NA
1326,0,54,70
1327,1,36,30
1328,1,42,NA
1329,0,35,50
1330,1,60,NA
1331,1,63,20
1332,1,41,70
1333,1,73,60
1334,0,36,60
1335,0,48,50
1336,1,56,NA
1337,0,57,NA
1338,1,27,NA
1339,0,66,0
1340,1,47,40
1341,1,59,NA
1342,0,40,60
1344,0,49,30
1345,1,50,NA
1346,0,63,50
1347,0,54,NA
1348,0,72,50
1349,1,65,40
1350,0,35,70
1351,0,51,70
1352,1,45,60
1353,0,53,20
1354,1,21,10
1355,1,39,70
1356,1,31,10
1357,0,33,40
1358,1,70,40
1359,1,66,NA
1360,0,46,80
1361,0,22,60
1362,1,72,30
1363,1,34,50
1364,0,49,60
1365,0,48,NA
1366,0,40,NA
1367,0,73,NA
1368,1,44,70
1369,1,60,NA
1370,1,52,100
1371,0,66,NA
1372,1,29,40
1373,1,31,0
1374,1,51,60
1375,1,66,NA
1376,0,38,40
1377,0,32,20
1378,1,25,0
1379,0,55,NA
1380,0,49,NA
1381,0,39,40
1382,1,25,NA
1383,0,61,70
1384,0,52,60
1385,1,71,60
1386,0,62,NA
1387,1,51,40
1388,0,74,NA
1389,0,71,30
1390,1,72,40
1391,1,24,NA
1392,0,75,40
1393,0,58,70
1394,1,29,NA
1395,1,49,NA
1396,1,50,NA
1397,0,59,80
1398,0,24,40
1399,0,52,70
1400,0,56,60
1401,1,39,70
1402,0,64,0
1403,1,62,NA
1404,0,39,50
1405,1,50,NA
1406,1,70,0
1407,0,42,70
1408,0,55,NA
1409,0,65,30
1410,0,22,70
1411,0,27,0
1412,1,52,NA
1413,1,79,40
1414,0,34,50
1415,0,61,50
1416,0,68,90
1417,1,51,50
1418,0,73,90
1419,1,48,60
1420,0,60,NA
1421,0,51,50
1422,0,46,NA
1423,1,61,30
1424,1,36,0
1425,0,70,NA
1426,1,37,30
