ID,Female,Over40,Pasta
573,1,1,Carbonara
574,1,1,Peperoncino
575,0,1,MeatSauce
576,1,1,Naporitan
577,0,0,MeatSauce
578,0,1,Naporitan
579,0,1,MeatSauce
580,0,1,Peperoncino
581,0,1,Naporitan
582,0,1,Naporitan
583,0,0,Naporitan
584,1,0,Naporitan
585,0,0,MeatSauce
586,1,1,Carbonara
587,1,1,MeatSauce
588,1,0,MeatSauce
589,0,0,MeatSauce
590,0,0,MeatSauce
591,0,1,MeatSauce
592,1,1,Carbonara
593,1,1,Carbonara
594,0,0,Naporitan
595,1,1,Carbonara
596,1,1,MeatSauce
597,1,1,Naporitan
598,0,1,Naporitan
599,1,1,Naporitan
600,1,0,Carbonara
601,1,0,MeatSauce
602,1,1,MeatSauce
603,1,1,MeatSauce
604,1,0,Peperoncino
605,0,1,Peperoncino
606,1,0,Naporitan
607,1,0,Naporitan
608,1,0,Naporitan
609,1,1,Naporitan
610,1,0,Naporitan
611,1,0,MeatSauce
612,1,0,MeatSauce
613,1,0,MeatSauce
614,1,0,MeatSauce
615,0,1,MeatSauce
616,1,1,Naporitan
617,0,1,MeatSauce
618,1,1,Carbonara
619,1,1,Carbonara
620,0,1,Carbonara
621,0,0,MeatSauce
622,1,0,Carbonara
623,0,1,MeatSauce
624,0,0,Peperoncino
625,0,1,MeatSauce
626,0,0,MeatSauce
627,0,0,Peperoncino
628,1,1,MeatSauce
629,0,1,MeatSauce
630,0,0,MeatSauce
631,0,0,MeatSauce
632,0,1,Carbonara
633,1,1,Carbonara
634,1,0,Peperoncino
635,0,1,Carbonara
636,0,0,MeatSauce
637,1,1,MeatSauce
638,1,0,Naporitan
639,1,1,Naporitan
640,0,0,MeatSauce
641,0,0,Naporitan
642,1,1,Naporitan
643,1,0,MeatSauce
644,1,0,Naporitan
645,0,1,Naporitan
646,1,0,Naporitan
647,1,0,MeatSauce
648,1,0,MeatSauce
649,0,0,Naporitan
650,1,1,Naporitan
651,1,1,Naporitan
652,0,0,Peperoncino
653,1,1,Peperoncino
654,1,0,MeatSauce
655,1,1,Carbonara
656,1,1,MeatSauce
657,1,1,Naporitan
658,0,0,Carbonara
659,0,0,Naporitan
660,1,0,Peperoncino
661,1,1,Naporitan
662,0,1,MeatSauce
663,0,0,Naporitan
664,1,0,MeatSauce
665,0,1,MeatSauce
666,1,0,MeatSauce
667,1,0,Carbonara
668,1,0,Carbonara
669,0,1,Carbonara
670,0,0,Carbonara
671,0,0,Carbonara
672,1,0,Carbonara
673,1,1,Peperoncino
674,1,1,Naporitan
675,1,0,MeatSauce
676,1,0,MeatSauce
677,0,0,Naporitan
678,1,0,Carbonara
679,0,0,MeatSauce
680,0,0,MeatSauce
681,1,1,Carbonara
682,1,0,Naporitan
683,0,1,MeatSauce
684,1,0,MeatSauce
685,0,0,MeatSauce
686,1,1,Peperoncino
687,1,1,Carbonara
688,0,1,MeatSauce
689,1,1,Peperoncino
690,1,1,Naporitan
691,1,0,MeatSauce
692,1,0,Naporitan
693,1,0,Naporitan
694,0,1,Peperoncino
695,1,0,Naporitan
696,1,1,MeatSauce
697,1,0,Carbonara
698,0,1,MeatSauce
699,1,0,MeatSauce
700,1,1,MeatSauce
701,1,0,MeatSauce
702,0,0,Carbonara
703,1,1,Naporitan
704,0,1,Carbonara
705,1,1,Carbonara
706,1,0,MeatSauce
707,1,0,MeatSauce
708,0,1,MeatSauce
709,1,0,Peperoncino
710,1,0,Carbonara
711,0,0,MeatSauce
712,1,0,Naporitan
713,1,1,Naporitan
714,1,0,Carbonara
715,1,1,Peperoncino
716,0,0,MeatSauce
717,1,0,MeatSauce
718,0,1,Naporitan
719,0,1,MeatSauce
720,1,1,Carbonara
721,0,0,Naporitan
722,1,1,MeatSauce
723,0,0,Peperoncino
724,1,0,Carbonara
725,0,1,Naporitan
726,0,0,MeatSauce
727,1,0,Carbonara
728,1,0,MeatSauce
729,0,1,Peperoncino
730,0,0,Peperoncino
731,0,0,MeatSauce
732,0,1,Carbonara
733,1,0,Naporitan
734,1,1,Peperoncino
735,1,0,Carbonara
736,1,1,Naporitan
737,0,0,Peperoncino
738,1,1,MeatSauce
739,1,0,MeatSauce
740,0,0,Carbonara
741,1,1,MeatSauce
742,0,0,MeatSauce
743,1,1,Carbonara
744,0,1,MeatSauce
745,0,1,MeatSauce
746,1,1,Peperoncino
747,1,0,Naporitan
748,0,1,MeatSauce
749,1,0,Carbonara
750,0,1,Naporitan
751,1,0,MeatSauce
752,1,0,MeatSauce
753,1,0,MeatSauce
754,1,1,Carbonara
755,1,0,Peperoncino
756,0,1,Naporitan
757,1,0,MeatSauce
758,0,1,Naporitan
759,0,0,Naporitan
760,1,0,Naporitan
761,0,0,Carbonara
762,0,1,Peperoncino
763,0,1,MeatSauce
764,0,0,Peperoncino
765,1,0,MeatSauce
766,0,1,Carbonara
767,0,1,Peperoncino
768,0,1,Peperoncino
769,1,1,Peperoncino
770,0,0,MeatSauce
771,0,0,Peperoncino
772,1,0,Naporitan
773,1,0,Naporitan
774,0,0,Peperoncino
775,0,1,Naporitan
776,1,0,Naporitan
777,0,0,Carbonara
778,1,0,MeatSauce
779,1,0,Carbonara
780,0,1,Carbonara
781,0,0,Naporitan
782,0,0,Naporitan
783,0,1,Peperoncino
784,0,0,Carbonara
785,1,1,MeatSauce
786,1,1,MeatSauce
787,0,0,MeatSauce
788,1,0,Naporitan
789,1,0,MeatSauce
790,0,0,MeatSauce
791,1,0,Carbonara
792,1,0,Naporitan
793,1,0,Naporitan
794,1,1,Naporitan
795,1,1,MeatSauce
796,1,1,Carbonara
797,0,0,MeatSauce
798,0,1,MeatSauce
799,0,1,Peperoncino
800,1,1,Peperoncino
801,0,0,Carbonara
802,0,1,MeatSauce
803,0,0,Naporitan
804,0,1,Naporitan
805,1,0,MeatSauce
806,0,0,MeatSauce
807,0,0,Carbonara
808,0,1,Naporitan
809,0,0,MeatSauce
810,1,1,Carbonara
811,1,1,Carbonara
812,1,0,Naporitan
813,1,0,MeatSauce
814,1,0,MeatSauce
815,0,1,MeatSauce
816,1,0,Peperoncino
817,0,1,Carbonara
818,0,0,Naporitan
819,1,0,Peperoncino
820,0,1,MeatSauce
821,0,0,Peperoncino
822,0,0,Peperoncino
823,1,0,Carbonara
824,0,1,Carbonara
825,1,0,Peperoncino
826,1,1,MeatSauce
827,1,0,Carbonara
828,0,1,Carbonara
829,0,1,MeatSauce
830,1,1,Naporitan
831,1,1,Naporitan
832,1,0,Naporitan
833,1,0,MeatSauce
834,0,1,MeatSauce
835,1,0,Carbonara
836,1,0,Naporitan
837,0,0,MeatSauce
838,1,0,Carbonara
839,0,0,Carbonara
840,0,0,Carbonara
841,0,0,MeatSauce
842,0,1,MeatSauce
843,0,1,MeatSauce
844,1,1,Peperoncino
845,0,0,MeatSauce
846,0,0,Carbonara
847,1,0,Peperoncino
848,1,0,MeatSauce
849,1,0,MeatSauce
850,0,1,MeatSauce
851,0,0,Naporitan
852,1,1,MeatSauce
853,0,1,Carbonara
854,0,1,Naporitan
855,1,1,Carbonara
856,1,1,Peperoncino
857,1,1,MeatSauce
858,1,0,MeatSauce
859,1,0,MeatSauce
860,1,1,Peperoncino
861,0,0,Naporitan
862,1,0,MeatSauce
863,0,1,Naporitan
864,0,1,Carbonara
865,1,0,MeatSauce
866,0,1,Naporitan
867,0,1,MeatSauce
868,0,0,Naporitan
869,0,1,MeatSauce
870,0,0,Peperoncino
871,0,1,Peperoncino
872,0,1,Naporitan
873,0,0,MeatSauce
874,1,1,Naporitan
875,0,1,Carbonara
876,1,1,Naporitan
877,1,1,Peperoncino
878,0,1,MeatSauce
879,1,0,Carbonara
880,1,0,Carbonara
881,1,1,Naporitan
882,1,0,MeatSauce
883,1,1,Naporitan
884,1,0,MeatSauce
885,0,1,MeatSauce
886,1,1,MeatSauce
887,0,1,Peperoncino
888,0,0,Naporitan
889,0,0,Naporitan
890,1,0,Carbonara
891,1,1,Peperoncino
892,0,1,Naporitan
893,1,0,MeatSauce
894,1,0,Carbonara
895,1,1,Carbonara
896,0,1,Naporitan
897,0,1,Naporitan
898,1,0,Carbonara
899,1,0,Naporitan
900,1,1,Naporitan
901,0,1,Carbonara
902,1,1,MeatSauce
903,1,0,Naporitan
904,1,1,Carbonara
905,0,0,Carbonara
906,1,0,Naporitan
907,1,0,Carbonara
908,0,0,Carbonara
909,0,1,Naporitan
910,0,1,MeatSauce
911,0,0,Carbonara
912,0,0,Carbonara
913,0,0,Carbonara
914,1,0,Naporitan
915,1,0,Carbonara
916,1,0,Naporitan
917,0,1,Peperoncino
918,1,1,Carbonara
919,1,0,Carbonara
920,0,0,MeatSauce
921,1,1,Carbonara
922,0,0,Carbonara
923,1,0,Naporitan
924,1,0,Peperoncino
925,0,0,Peperoncino
926,1,0,MeatSauce
927,1,1,Carbonara
928,0,1,Naporitan
929,1,0,Naporitan
930,1,0,MeatSauce
931,0,0,Naporitan
932,0,1,Naporitan
933,1,0,Carbonara
934,1,0,Carbonara
935,1,1,Naporitan
936,0,0,MeatSauce
937,0,0,Naporitan
938,1,1,Naporitan
939,0,0,Naporitan
940,1,0,Peperoncino
941,0,0,MeatSauce
942,0,1,Carbonara
943,0,1,Naporitan
944,0,0,Naporitan
945,1,0,Carbonara
946,0,0,MeatSauce
947,1,1,Carbonara
948,0,1,MeatSauce
949,0,0,Naporitan
950,1,0,MeatSauce
951,1,0,Naporitan
952,1,1,Peperoncino
953,1,0,Naporitan
954,1,0,Naporitan
955,0,0,MeatSauce
956,0,1,Peperoncino
957,0,0,Naporitan
958,1,1,Peperoncino
959,1,0,MeatSauce
960,1,1,Carbonara
961,0,0,MeatSauce
962,1,0,Carbonara
963,1,0,Naporitan
964,1,1,Peperoncino
965,1,0,Carbonara
966,0,0,Naporitan
967,0,1,Carbonara
968,0,1,Carbonara
969,1,1,Carbonara
970,1,0,Naporitan
971,0,1,MeatSauce
972,1,0,Carbonara
973,0,0,Naporitan
974,1,1,MeatSauce
975,1,0,Carbonara
976,0,1,Carbonara
977,1,1,MeatSauce
978,1,0,Carbonara
979,1,1,Naporitan
980,1,1,MeatSauce
981,1,0,MeatSauce
982,0,0,Peperoncino
983,1,0,Carbonara
984,0,0,Naporitan
985,0,0,Naporitan
986,0,1,MeatSauce
987,0,1,MeatSauce
988,0,1,Naporitan
989,1,1,Peperoncino
990,0,1,Peperoncino
991,0,0,MeatSauce
992,0,0,MeatSauce
993,1,0,Naporitan
994,1,0,Naporitan
995,1,0,Naporitan
996,1,1,Naporitan
997,0,0,MeatSauce
998,1,1,Peperoncino
999,1,1,Naporitan
1000,1,0,Carbonara
1001,1,0,MeatSauce
1002,1,1,MeatSauce
1003,1,1,MeatSauce
1004,0,1,Peperoncino
1005,1,1,MeatSauce
1006,0,1,Carbonara
1007,0,1,Naporitan
1008,0,0,Carbonara
1009,0,1,Naporitan
1010,1,1,Carbonara
1011,1,0,Peperoncino
1012,0,1,MeatSauce
1013,1,0,MeatSauce
1014,1,1,Peperoncino
1015,0,1,Carbonara
1016,1,0,Carbonara
1017,0,1,Carbonara
1018,1,0,Naporitan
1019,1,1,Carbonara
1020,1,1,Carbonara
1021,1,1,Peperoncino
1022,0,1,Carbonara
1023,1,0,Naporitan
1024,1,0,Carbonara
1025,1,0,Naporitan
1026,1,0,Carbonara
1027,1,1,MeatSauce
1028,1,0,Naporitan
1029,1,0,Carbonara
1030,0,0,MeatSauce
1031,0,0,Carbonara
1032,0,1,MeatSauce
1033,0,0,Naporitan
1034,0,0,MeatSauce
1035,0,1,Naporitan
1036,0,1,Carbonara
1037,1,0,Naporitan
1038,1,0,Carbonara
1039,1,1,Peperoncino
1040,0,0,Carbonara
1041,0,1,Peperoncino
1042,0,1,Peperoncino
1043,1,0,MeatSauce
1044,1,1,MeatSauce
1045,0,1,Carbonara
1046,1,1,Peperoncino
1047,0,1,MeatSauce
1048,0,1,MeatSauce
1049,0,1,Carbonara
1050,1,1,MeatSauce
1051,1,1,Carbonara
1052,0,1,MeatSauce
1053,1,0,MeatSauce
1054,1,0,Naporitan
1055,1,0,Carbonara
1056,0,1,Naporitan
1057,0,0,Carbonara
1058,0,1,Peperoncino
1059,1,0,Naporitan
1060,0,0,Naporitan
1061,0,1,Naporitan
1062,1,0,Peperoncino
1063,1,0,Naporitan
1064,0,1,MeatSauce
1065,0,0,MeatSauce
1066,0,1,Peperoncino
1067,1,0,MeatSauce
1068,1,0,Naporitan
1069,1,0,Carbonara
1070,1,1,Naporitan
1071,0,0,Naporitan
1072,0,1,Peperoncino
1073,0,1,Peperoncino
1074,1,0,Carbonara
1075,0,1,Peperoncino
1076,1,1,Peperoncino
1077,1,1,Carbonara
1078,0,0,Naporitan
1079,1,1,Peperoncino
1080,1,0,Naporitan
1081,1,0,Naporitan
1082,1,1,MeatSauce
1083,1,1,Peperoncino
1084,0,1,MeatSauce
1085,1,1,Carbonara
1086,0,1,Peperoncino
1087,0,1,MeatSauce
1088,1,1,Carbonara
1089,1,0,Carbonara
1090,1,0,Carbonara
1091,1,1,Peperoncino
1092,0,1,Carbonara
1093,1,0,MeatSauce
1094,1,0,Peperoncino
1095,1,1,Peperoncino
1096,0,1,Peperoncino
1097,1,0,Peperoncino
1098,0,0,MeatSauce
1099,0,0,Naporitan
1100,0,1,MeatSauce
1101,1,0,Peperoncino
1102,1,0,MeatSauce
1103,1,0,Peperoncino
1104,1,0,Carbonara
1105,0,1,MeatSauce
1106,1,0,MeatSauce
1107,1,0,Carbonara
1108,0,1,Naporitan
1109,1,0,Carbonara
1110,1,0,MeatSauce
1111,0,0,Carbonara
1112,1,0,MeatSauce
1113,1,1,Carbonara
1114,1,0,Peperoncino
1115,0,1,Carbonara
1116,1,1,MeatSauce
1117,0,1,MeatSauce
1118,0,0,Naporitan
1119,1,1,Peperoncino
1120,0,1,Naporitan
1121,1,0,Naporitan
1122,1,0,Carbonara
1123,0,0,Carbonara
1124,1,1,Naporitan
1125,0,1,Carbonara
1126,0,0,Peperoncino
1127,1,0,MeatSauce
1128,0,0,MeatSauce
1129,1,0,Carbonara
1130,1,1,Peperoncino
1131,0,0,Naporitan
1132,1,1,Peperoncino
1133,0,0,Naporitan
1134,1,1,Peperoncino
1135,1,1,Peperoncino
