fem,age,educ,inc,child,youtube,diver1,diver2,diver3,diver4,diver5
0,70,2,6,3,1,2,3,3,3,3
1,54,2,1,2,2,2,3,4,2,4
0,77,1,6,3,5,2,4,4,3,4
0,56,6,10,2,2,5,5,5,5,5
1,72,2,3,3,1,5,5,2,1,5
0,66,6,7,3,4,4,4,2,3,4
1,29,6,8,1,3,3,4,4,3,4
0,75,4,4,3,5,3,4,4,4,3
0,58,6,14,1,2,3,3,3,3,4
0,49,2,9,2,2,4,3,4,4,3
1,26,5,7,1,4,4,4,4,4,4
0,30,5,16,1,2,3,4,3,2,3
0,54,5,13,1,4,4,4,3,3,4
0,35,2,10,1,6,2,2,3,2,2
0,34,NA,NA,1,7,1,1,1,1,1
0,65,2,7,3,2,4,4,4,4,5
0,49,4,NA,2,3,3,4,4,3,3
1,56,4,1,1,2,1,3,3,3,3
1,42,2,3,2,2,5,4,4,5,4
0,68,4,8,2,4,3,4,4,3,4
0,69,5,8,3,2,4,4,4,3,4
0,32,6,9,2,4,4,4,4,4,3
1,30,3,8,1,5,5,5,5,5,5
0,64,2,6,3,1,4,4,3,4,4
0,49,5,9,1,1,4,4,4,3,4
1,47,4,NA,1,2,4,4,5,4,4
0,26,2,6,1,4,5,4,3,2,4
1,45,4,8,1,1,4,4,4,4,4
0,29,5,1,1,1,3,3,3,2,3
1,70,5,3,3,1,2,4,4,3,4
0,49,5,10,2,4,3,4,4,3,4
0,21,5,3,1,4,5,4,5,5,4
0,28,NA,NA,1,1,1,1,1,1,1
0,59,6,15,3,4,4,4,4,4,5
1,55,2,2,1,5,3,4,4,4,5
1,29,3,9,1,2,3,4,4,4,4
0,28,1,4,1,5,4,4,5,4,4
0,39,5,8,1,2,1,4,3,2,2
1,35,4,13,2,3,4,1,4,3,1
0,76,5,8,3,1,4,4,5,4,4
1,71,2,4,2,1,4,4,4,3,4
0,51,1,7,3,3,3,4,4,4,3
1,68,2,1,3,1,3,3,3,3,4
0,73,5,8,3,3,3,4,4,4,4
1,73,5,NA,3,4,3,4,4,3,4
1,53,4,NA,3,3,3,3,3,3,3
1,39,5,7,1,3,4,4,4,3,2
1,27,6,8,1,3,2,4,3,3,3
0,67,5,1,3,4,4,5,5,5,4
1,61,3,4,1,2,2,3,2,2,4
0,55,6,16,2,4,3,4,4,4,4
1,71,2,3,1,2,2,3,4,2,3
1,33,2,3,1,4,4,4,4,4,4
0,51,1,10,1,3,3,3,3,3,3
1,44,5,2,2,3,3,2,2,2,3
0,26,5,11,1,4,4,5,5,4,4
0,34,5,11,2,5,4,2,4,4,3
0,71,5,8,2,4,2,3,3,2,4
0,29,4,7,1,4,3,4,4,3,2
1,63,2,4,3,6,3,4,5,4,3
1,50,4,7,1,2,4,4,5,3,3
1,75,5,6,1,2,1,4,3,2,5
1,54,4,6,2,4,3,3,3,3,3
1,76,4,2,3,1,4,4,4,4,4
0,26,6,9,1,4,3,4,4,3,3
0,58,5,13,2,3,4,4,4,4,3
0,40,5,11,1,5,4,4,4,4,3
0,45,5,8,1,3,4,4,4,4,4
1,63,2,1,3,2,3,4,4,3,4
0,60,3,10,2,5,3,4,4,2,4
0,60,2,6,2,3,3,3,3,3,3
0,73,2,7,3,1,3,4,4,3,3
1,70,5,NA,3,3,3,4,4,3,3
0,37,NA,NA,1,2,4,4,4,3,5
0,45,5,7,1,7,3,5,5,3,3
1,64,2,3,3,2,2,3,4,4,3
0,71,2,6,2,3,3,2,4,2,4
1,55,4,1,3,3,2,2,2,1,3
0,49,5,12,2,4,4,5,5,4,5
1,23,2,1,1,4,3,3,3,4,3
0,28,5,8,1,3,3,2,2,2,4
1,54,4,NA,1,1,1,1,1,1,1
0,75,5,NA,2,2,4,4,4,3,4
0,52,6,13,1,3,5,5,5,5,5
1,78,2,4,2,1,4,4,4,3,4
0,54,6,NA,1,2,2,4,4,2,3
1,66,4,4,3,1,2,4,3,3,3
0,30,NA,NA,1,7,3,2,1,3,5
1,38,5,7,2,1,4,3,2,3,2
0,54,2,1,1,3,3,3,3,3,3
0,59,2,7,1,2,1,1,1,1,3
0,77,6,8,3,2,4,3,4,4,5
0,22,5,6,1,4,4,4,4,4,4
0,50,3,12,1,4,1,4,4,4,4
0,22,6,1,1,3,1,2,3,1,4
0,45,6,12,2,4,4,3,4,3,3
0,62,4,7,3,2,2,2,2,2,3
1,77,2,4,3,2,3,4,4,4,4
0,53,5,7,1,4,3,4,5,4,4
1,23,5,NA,1,2,4,4,4,5,5
1,52,4,6,1,3,4,4,4,4,4
1,62,4,7,3,1,3,3,3,3,4
1,26,5,11,2,7,4,4,4,3,4
0,47,2,9,2,2,4,5,5,4,2
0,36,2,1,1,3,3,4,4,3,4
0,24,5,1,1,7,5,5,5,5,5
0,23,5,5,1,1,3,4,4,4,4
1,46,NA,7,2,3,3,4,4,3,4
0,24,2,11,1,2,3,2,3,3,2
1,29,5,4,2,3,3,4,4,3,3
0,24,5,9,1,3,2,4,5,3,3
0,54,5,11,1,2,3,3,4,2,3
0,64,5,7,3,4,3,3,3,2,2
0,54,2,9,2,1,3,2,4,3,3
1,37,5,10,1,3,4,4,4,3,4
0,46,3,6,1,4,1,2,2,2,4
0,62,2,13,2,1,4,4,4,4,4
0,28,2,9,1,2,3,4,3,3,2
1,47,2,7,2,2,4,4,4,4,4
1,57,5,3,1,1,4,4,3,4,4
0,54,6,11,1,3,3,4,4,4,3
0,75,3,6,1,5,4,3,2,4,2
1,60,2,3,3,2,3,4,4,3,3
0,60,5,13,2,2,3,4,4,3,4
1,48,4,1,2,2,3,4,4,4,4
0,70,5,4,1,2,4,4,4,4,5
0,67,NA,NA,1,1,2,3,3,2,3
0,60,5,1,3,6,4,3,4,3,3
1,72,5,6,1,1,4,4,4,3,4
0,53,5,7,1,2,4,3,3,2,3
0,54,6,NA,2,1,3,4,4,4,3
1,75,5,NA,3,1,4,4,5,4,2
1,75,2,3,1,1,3,4,4,3,4
0,21,1,1,1,6,4,4,5,2,3
0,22,2,7,1,3,3,4,2,3,3
1,34,5,8,1,2,4,4,4,4,3
0,29,5,NA,1,4,3,4,4,4,4
0,41,5,11,1,2,4,5,4,4,5
0,62,6,10,3,2,5,5,5,5,5
0,40,5,10,2,6,5,4,4,4,4
0,63,1,NA,1,2,3,4,4,3,4
0,51,5,12,2,1,4,4,3,3,3
1,42,2,NA,1,4,3,4,4,3,4
0,59,5,8,1,6,3,4,4,3,4
0,48,2,NA,2,2,3,3,4,4,4
1,40,2,7,1,2,4,4,3,4,4
1,50,5,4,2,3,3,4,4,3,4
0,29,2,11,1,7,3,4,4,4,3
1,25,5,6,1,3,3,4,4,4,4
0,25,2,4,1,4,3,4,3,3,3
0,74,5,6,3,2,3,3,4,3,4
0,75,2,NA,3,1,3,4,4,3,4
0,65,5,12,3,5,3,4,4,3,4
1,27,5,10,1,3,3,3,2,2,3
1,41,2,14,2,3,4,4,4,3,4
0,51,5,12,1,1,4,4,5,4,4
1,72,2,2,2,1,3,3,3,3,3
0,64,5,11,3,2,3,3,3,3,3
0,39,2,8,1,2,3,4,4,4,4
0,49,6,8,1,2,3,4,3,4,4
1,69,5,3,3,3,4,4,4,4,4
0,73,2,8,3,2,3,4,4,3,3
0,48,5,9,1,4,3,4,4,3,3
1,50,2,4,1,3,4,2,2,4,4
1,36,2,NA,2,4,4,4,4,4,4
0,71,4,NA,1,1,4,3,4,3,4
1,75,5,8,1,2,4,4,4,4,4
0,57,5,11,1,2,4,5,5,4,5
1,26,6,7,1,4,4,5,4,5,2
1,71,2,2,3,1,3,3,3,2,3
0,51,6,10,1,1,3,3,4,3,4
1,32,5,12,2,1,4,5,4,4,4
1,35,5,7,1,3,4,4,4,4,4
0,79,6,8,3,4,2,3,3,1,3
0,27,2,7,1,4,1,5,5,1,5
0,63,3,9,3,3,2,4,4,3,2
1,72,5,1,3,3,3,4,4,3,5
0,62,2,10,3,3,4,4,4,4,4
0,57,2,NA,3,7,5,4,4,3,4
0,75,5,7,2,1,1,2,2,2,3
0,77,NA,NA,1,5,3,4,4,2,3
1,43,5,8,2,1,3,4,4,3,4
0,34,2,1,1,4,1,1,3,2,3
0,39,5,NA,1,2,2,1,2,5,5
0,63,2,9,3,4,5,4,4,4,4
0,35,2,7,2,7,1,1,1,1,4
1,45,4,8,1,3,4,4,4,4,4
0,74,2,8,3,3,4,4,4,3,4
0,56,5,12,2,2,5,5,5,5,4
1,24,5,1,1,4,3,4,4,4,4
0,28,5,8,2,2,3,3,3,3,3
0,53,5,9,2,4,3,4,2,3,4
1,35,1,3,1,1,4,4,4,4,5
1,53,5,4,2,1,3,3,3,3,4
1,41,5,7,1,1,2,4,3,1,4
1,75,5,NA,3,1,4,5,4,4,4
1,46,2,7,3,3,3,4,4,2,4
0,35,6,9,2,1,2,4,4,4,4
0,72,6,11,2,3,4,4,4,3,4
0,37,5,10,1,2,5,4,5,5,5
1,32,5,9,1,4,3,4,4,3,4
0,76,5,7,3,1,3,3,3,3,3
0,49,5,12,3,4,3,4,4,4,3
0,75,2,7,3,2,3,4,4,4,4
1,71,5,3,2,2,4,4,4,4,4
0,57,5,NA,1,2,4,4,4,4,3
1,69,5,2,3,2,3,4,4,3,3
1,58,3,NA,2,5,4,4,4,4,4
1,51,4,6,2,3,3,4,4,3,4
1,76,5,2,3,2,4,3,3,3,4
1,37,5,3,2,5,1,3,2,3,2
1,37,5,3,2,2,3,2,3,3,4
0,31,4,9,1,4,2,5,3,4,3
1,40,5,5,2,2,4,4,4,3,4
0,36,2,10,2,3,3,4,4,3,3
1,66,2,NA,2,1,3,4,4,4,4
1,39,4,2,2,3,2,3,2,3,4
0,57,5,10,1,3,3,4,3,3,3
0,59,2,7,1,2,2,3,4,3,3
1,41,5,8,2,3,4,4,4,4,3
1,50,2,3,1,1,3,4,3,3,4
0,54,2,10,1,1,3,3,4,3,5
1,69,4,6,3,2,5,5,5,5,5
1,27,NA,4,1,6,5,5,4,5,4
0,37,5,9,2,5,2,2,2,3,4
0,46,5,9,1,5,3,3,3,3,3
1,52,2,7,3,5,4,4,4,4,4
1,71,4,3,1,4,3,3,3,3,3
1,58,4,3,2,6,4,4,4,4,4
0,46,2,6,1,3,2,4,4,4,4
0,36,5,6,2,2,2,3,3,2,4
1,27,4,3,2,1,4,4,1,2,3
1,59,4,1,1,2,5,5,5,5,5
1,68,2,1,3,1,3,3,4,2,4
1,71,2,15,1,1,4,4,4,4,4
0,29,3,7,1,6,3,3,3,3,3
0,48,2,10,1,3,5,5,4,4,4
1,44,4,1,1,1,1,2,3,1,2
0,53,2,8,1,1,3,3,3,3,3
1,45,5,3,1,2,5,5,5,4,4
0,48,5,18,2,4,4,4,2,3,2
0,45,5,13,1,5,3,4,4,3,1
0,46,2,9,1,6,4,4,1,3,3
0,69,NA,11,1,4,3,3,3,3,3
1,50,4,7,1,4,4,4,5,3,4
0,25,5,10,1,2,4,4,4,3,4
0,28,5,8,3,3,4,3,3,4,4
1,59,4,3,1,2,5,5,5,4,4
0,33,5,8,1,1,3,4,3,3,4
0,61,5,7,3,2,3,3,4,3,3
1,44,3,2,2,3,2,4,4,3,4
1,60,5,NA,2,2,1,1,1,3,5
0,48,2,1,1,7,2,3,3,2,2
0,29,2,3,1,5,4,3,4,4,3
0,33,2,NA,1,6,4,4,4,4,4
0,67,5,NA,2,4,3,3,4,4,3
1,28,2,2,1,5,2,5,4,2,3
0,71,5,1,1,4,2,4,4,4,4
1,60,5,12,2,2,4,4,4,4,4
0,53,2,NA,2,3,3,4,4,4,4
1,76,3,3,3,2,4,5,4,4,4
0,55,2,NA,2,1,3,4,4,3,3
0,49,3,10,2,2,3,4,3,3,4
0,68,5,14,3,2,4,4,4,4,4
0,58,2,10,3,4,4,4,4,4,4
1,46,5,NA,1,2,3,4,4,3,4
0,31,5,12,1,4,4,4,4,4,4
0,48,2,3,2,3,3,4,4,3,5
0,47,5,NA,2,4,3,3,4,3,4
0,75,6,7,3,3,4,4,4,4,5
0,77,5,7,2,4,3,3,3,2,2
1,43,4,6,1,1,4,4,5,4,4
1,32,5,7,1,2,3,4,4,3,4
1,58,4,6,3,2,3,3,3,3,3
0,32,5,8,2,3,3,4,3,5,4
0,62,5,8,2,3,3,5,5,4,4
0,73,5,8,3,1,2,4,4,4,4
0,75,5,6,2,1,3,2,3,2,2
0,25,5,7,1,6,5,5,5,2,5
0,69,5,7,3,2,3,4,4,3,4
1,24,5,8,1,6,4,5,4,4,4
0,71,2,1,2,1,2,4,4,4,3
1,40,1,1,2,2,4,4,4,4,4
1,70,2,3,3,6,1,4,4,2,4
1,32,2,8,2,2,3,4,3,3,4
1,72,4,6,3,1,3,4,4,3,4
1,26,NA,9,1,6,4,5,3,4,3
0,29,2,9,1,5,4,3,4,4,5
1,48,2,NA,1,3,4,5,4,3,4
0,36,2,9,1,6,3,2,3,4,3
0,75,2,7,3,6,2,2,2,2,2
1,76,2,6,3,2,3,3,3,3,3
0,51,4,8,1,3,1,3,1,1,3
0,74,2,7,3,1,1,3,3,1,2
0,34,2,9,1,3,3,3,4,4,2
0,70,5,8,3,2,2,4,4,3,3
1,59,5,11,2,2,4,4,4,4,2
0,36,1,1,1,3,3,3,3,3,4
1,43,5,12,1,5,5,4,4,5,5
1,46,5,NA,1,5,3,3,3,3,3
0,60,5,15,1,1,5,5,5,5,4
1,36,5,NA,2,1,2,4,4,2,2
1,66,5,6,2,1,4,2,4,4,4
1,40,3,5,2,7,4,4,4,4,2
1,39,3,3,1,1,3,4,4,4,4
1,31,5,8,2,6,2,4,4,4,4
1,70,2,NA,3,2,4,5,4,4,3
1,63,3,2,3,4,4,4,4,4,4
0,64,3,1,3,5,4,3,5,5,4
0,44,2,12,2,4,4,5,4,4,4
0,53,5,3,1,4,4,4,3,4,3
0,62,4,6,2,4,1,1,1,1,1
1,26,4,1,1,3,4,4,4,3,3
0,56,2,9,2,5,4,4,4,4,4
1,55,5,4,1,1,3,2,3,3,4
0,51,2,13,2,2,4,4,4,4,4
0,35,5,11,2,2,3,3,3,3,3
0,33,2,9,1,7,3,3,4,3,3
0,46,NA,8,1,7,1,1,3,1,1
0,58,5,16,3,5,5,4,4,4,2
1,27,5,8,1,3,2,4,3,2,4
0,29,5,9,1,4,3,3,4,3,3
0,63,2,11,2,1,2,4,4,2,3
0,75,6,10,3,1,5,5,5,5,5
0,65,5,NA,3,3,3,4,4,4,4
1,26,5,8,1,4,5,5,4,5,5
0,34,2,10,2,7,3,4,4,4,4
1,41,4,6,2,1,2,2,3,3,4
0,46,2,11,2,3,4,4,4,4,4
1,45,3,10,3,4,4,4,4,5,5
0,67,5,6,1,2,2,3,3,2,3
0,53,2,13,1,4,3,4,4,3,3
1,22,5,1,1,2,4,4,4,4,3
1,71,2,5,3,4,3,4,4,4,4
1,57,5,NA,3,1,3,4,3,4,4
1,64,2,2,2,3,4,4,4,4,4
1,51,2,8,2,3,4,4,4,3,3
0,67,5,8,1,2,2,4,5,2,2
1,64,4,9,2,1,2,3,4,2,3
1,26,5,8,1,2,4,5,5,4,4
0,37,2,18,1,1,4,3,3,4,3
0,36,5,7,1,4,3,4,4,3,3
1,61,5,6,2,4,3,3,3,3,4
1,64,5,4,3,3,4,4,3,4,4
0,72,5,NA,3,2,3,4,3,3,5
1,66,2,3,3,5,5,4,5,4,5
1,48,4,NA,2,2,3,4,4,3,4
1,41,5,NA,2,6,4,4,4,4,4
0,41,2,9,2,4,4,4,4,4,4
0,52,2,9,2,2,5,4,5,3,3
0,54,5,9,3,5,3,4,4,4,4
1,45,2,8,1,1,2,2,2,2,2
0,58,1,NA,1,2,4,4,4,4,1
0,24,1,2,1,2,3,3,3,3,4
1,51,3,6,2,1,4,4,3,3,4
0,62,5,8,1,3,3,4,4,3,4
1,37,6,11,2,2,4,4,4,4,4
1,42,2,9,1,2,3,4,4,3,4
0,29,NA,NA,1,5,3,4,5,4,3
0,28,2,8,1,3,5,5,4,5,4
0,47,5,13,2,4,3,4,4,4,4
0,19,5,2,1,5,3,3,3,3,3
1,28,5,8,1,4,2,4,4,3,4
0,51,2,8,1,3,2,3,3,3,3
0,69,5,NA,2,1,3,3,3,3,3
1,75,5,2,3,1,4,4,4,4,4
0,70,5,6,3,3,5,4,4,3,4
1,45,4,6,1,4,2,3,4,2,4
0,43,2,9,1,2,4,4,3,3,4
0,35,2,3,1,2,2,3,3,2,2
1,75,2,7,3,1,3,4,4,3,4
0,26,5,9,1,3,3,4,4,3,3
1,24,5,7,1,1,3,3,3,3,3
1,67,5,1,3,4,4,3,4,3,4
1,29,5,9,1,1,3,3,2,1,3
1,65,4,9,1,2,3,3,5,4,4
0,49,2,11,1,2,3,4,4,3,4
1,54,2,1,1,1,2,3,3,3,3
0,27,2,6,1,4,3,4,4,4,3
1,59,5,14,3,2,5,4,4,4,4
0,25,5,8,1,4,4,4,4,4,4
0,66,5,7,1,4,4,4,4,3,4
1,75,2,9,3,5,2,2,2,3,1
0,49,2,7,2,4,4,4,4,4,3
1,70,4,1,3,1,4,4,5,4,4
1,29,2,7,1,3,3,4,4,4,3
0,47,5,8,2,4,2,4,4,4,4
0,20,5,1,1,4,4,3,4,3,4
0,64,5,NA,2,2,3,3,3,3,3
0,33,6,9,2,3,3,3,3,3,2
1,55,4,NA,1,1,3,4,4,3,4
0,64,5,8,2,2,3,3,3,3,3
1,40,5,NA,1,2,2,4,5,3,4
0,63,5,7,3,1,4,4,4,3,3
0,33,5,4,1,2,1,1,1,1,3
0,61,6,9,1,2,4,3,4,3,5
1,25,5,7,1,2,4,4,4,4,4
0,46,5,4,1,1,3,3,3,3,4
1,47,3,7,1,1,3,3,4,3,3
1,74,4,3,3,1,3,4,4,3,4
0,64,5,19,2,2,4,4,4,4,4
0,67,5,8,2,1,3,4,4,4,4
1,50,4,8,1,2,5,4,4,4,4
0,58,5,7,1,2,4,4,3,2,2
0,74,2,6,1,2,3,4,4,3,4
1,39,5,8,1,1,5,5,5,5,5
1,78,3,2,3,3,4,3,4,2,3
1,33,4,6,1,3,4,4,4,4,4
1,65,2,4,3,2,3,4,3,3,4
0,49,2,11,2,2,2,4,3,2,3
0,50,6,14,1,5,4,4,5,4,4
0,50,5,13,1,3,3,4,4,3,4
1,51,1,1,1,7,4,4,4,2,4
0,28,5,2,1,5,3,3,3,3,3
1,48,5,7,1,2,3,4,4,3,4
1,53,6,NA,2,2,4,4,4,3,4
0,55,2,13,2,3,4,4,4,4,4
1,65,4,2,3,3,3,4,4,3,3
0,44,5,13,1,4,3,4,4,4,4
1,59,2,4,1,1,3,3,3,3,3
1,49,3,8,2,3,3,5,5,3,3
0,56,5,12,2,2,4,4,4,3,4
0,69,2,9,1,2,3,4,4,3,4
0,39,1,NA,2,3,3,4,5,2,2
1,73,5,3,3,2,3,4,3,3,3
1,61,5,NA,2,2,4,4,5,4,4
0,54,5,9,1,1,3,3,3,3,3
0,76,5,4,3,2,4,4,4,2,3
1,59,4,4,3,2,3,3,4,3,3
1,50,4,3,1,2,3,3,3,3,4
0,54,2,NA,3,1,4,4,4,3,3
0,71,2,7,3,2,2,3,3,2,2
0,46,5,16,2,3,3,4,4,3,3
1,23,5,7,1,2,3,4,4,4,4
0,70,5,13,2,2,4,4,4,4,4
1,36,4,4,2,3,4,4,4,4,4
0,58,2,11,3,2,3,3,4,3,2
1,77,6,7,1,2,5,4,4,5,4
0,66,5,8,2,4,3,3,3,3,3
1,24,5,7,1,5,4,4,4,3,4
1,71,5,6,2,3,3,3,3,3,3
0,65,5,1,1,1,3,3,3,3,3
0,60,2,7,1,3,3,3,3,3,4
0,73,5,7,3,3,3,4,4,3,4
1,33,5,7,1,2,4,4,4,5,4
1,54,6,11,1,3,4,3,4,3,3
0,53,4,8,2,2,3,4,4,3,3
0,32,2,9,1,4,2,3,3,3,3
0,74,3,12,3,3,3,3,3,2,4
0,65,2,9,1,1,3,4,4,2,3
0,57,6,NA,2,3,4,4,4,4,4
0,49,5,11,1,2,4,4,4,3,3
1,29,5,4,2,2,4,4,4,4,4
1,63,2,7,3,1,4,3,4,4,2
1,71,4,NA,3,2,3,4,4,4,4
1,28,5,8,1,3,4,5,4,4,4
0,47,5,10,2,2,3,3,3,3,4
0,29,5,8,1,2,1,1,1,1,1
0,42,6,12,1,4,2,3,3,2,2
0,60,2,6,1,2,1,2,2,1,1
0,37,5,13,1,4,4,5,4,2,4
0,41,6,10,1,4,3,5,4,4,3
0,51,2,1,1,1,2,1,1,2,4
1,60,5,1,3,2,4,4,4,4,4
0,58,4,9,2,4,3,4,4,3,4
1,56,3,NA,1,3,3,3,3,3,4
1,21,2,NA,1,2,3,4,3,2,4
0,72,2,5,1,1,2,2,2,2,3
0,24,5,7,1,7,1,1,1,1,1
0,55,5,9,2,5,4,3,3,4,4
1,62,2,6,3,2,3,4,4,4,4
1,57,5,6,1,4,3,4,4,4,4
0,52,5,13,2,2,3,3,4,2,3
0,58,5,1,1,5,3,4,4,3,3
0,40,6,14,1,3,3,3,2,3,3
1,47,2,4,2,1,2,3,3,4,3
0,29,2,2,1,7,3,3,3,3,3
1,57,2,3,2,1,4,4,4,4,4
0,57,5,14,1,3,5,5,5,5,5
1,78,5,5,3,1,2,3,4,2,3
0,65,5,5,2,4,2,3,4,2,3
1,62,4,4,2,3,4,4,4,4,4
1,47,2,6,2,5,3,4,4,4,4
1,55,5,2,3,2,3,3,4,2,4
1,34,5,7,1,3,3,3,3,3,3
0,74,5,7,3,2,5,5,5,5,5
1,32,2,1,2,2,3,4,2,4,3
0,50,5,8,2,4,3,3,3,2,3
1,56,2,6,3,1,4,4,4,3,4
1,27,4,8,1,4,5,5,5,4,5
1,34,2,4,1,2,5,3,3,4,3
1,39,5,NA,1,4,4,4,4,4,4
0,28,5,19,1,2,5,5,5,4,4
1,41,2,1,1,2,4,3,4,3,3
1,49,5,NA,2,1,2,3,2,3,3
0,70,2,NA,3,4,3,3,3,2,3
0,30,5,8,2,4,3,5,4,4,3
0,37,3,9,2,4,5,5,5,5,5
1,44,5,NA,2,1,3,3,3,3,3
1,60,5,NA,3,3,4,3,3,4,3
0,52,5,9,2,3,2,4,4,3,4
0,45,2,11,2,2,5,5,5,5,5
0,43,2,13,2,1,3,3,3,3,3
0,44,5,12,2,4,4,4,4,4,4
0,28,5,9,1,4,3,4,4,3,3
0,72,5,6,3,2,4,4,3,3,4
0,35,6,10,1,4,4,4,5,3,4
0,61,5,NA,3,2,3,4,4,4,4
1,51,4,NA,1,2,3,4,5,3,3
1,68,3,3,3,2,3,3,3,3,2
0,53,2,11,2,5,4,3,4,3,3
1,48,5,12,1,4,3,3,3,4,4
0,59,2,8,1,2,3,4,4,3,3
0,43,5,12,2,3,4,5,4,5,5
0,57,5,NA,2,1,4,3,3,4,3
1,52,6,10,3,2,4,4,4,4,4
1,39,5,9,2,4,4,4,4,4,4
1,75,4,6,3,1,4,4,4,3,4
0,48,2,11,3,4,2,2,3,2,4
