fem,age,educ,inc,child,youtube,diver1,diver2,diver3,diver4,diver5
1,50,5,6,1,2,3,3,3,3,4
1,51,5,19,2,4,2,4,4,3,5
1,30,2,7,1,2,3,3,3,3,3
0,61,2,7,3,3,2,3,2,1,5
0,69,5,7,3,4,3,4,4,4,4
1,49,2,2,2,3,2,3,4,2,3
1,72,5,3,3,2,4,4,4,3,4
1,73,5,4,2,5,1,1,1,2,1
0,52,6,15,1,5,2,4,4,4,4
0,58,2,10,3,5,2,2,3,1,2
0,48,6,9,1,1,3,3,4,3,3
0,47,4,9,1,2,4,4,4,3,4
0,41,5,8,3,2,4,4,3,4,3
0,56,5,NA,2,2,4,4,4,3,3
1,32,4,1,2,3,3,3,4,3,3
0,57,5,13,1,2,3,3,3,3,3
0,78,2,7,2,4,4,4,4,4,4
1,51,5,7,1,2,3,4,4,3,3
0,45,1,10,2,3,4,5,5,5,5
1,62,2,7,1,1,2,3,4,2,3
0,55,5,13,2,3,4,4,4,5,4
0,46,5,12,2,2,4,4,4,4,4
0,74,2,9,3,1,3,4,4,3,3
0,77,3,8,3,1,4,3,4,4,4
0,67,6,6,3,1,2,3,3,3,2
0,30,NA,7,1,2,3,3,3,3,3
1,46,5,8,1,2,4,4,4,4,4
0,58,5,NA,1,2,4,4,4,4,4
0,51,5,19,2,4,4,3,4,3,3
0,24,5,8,1,6,4,4,5,5,5
0,43,5,9,1,4,3,4,4,4,4
0,49,5,11,1,4,2,4,3,2,3
1,45,5,1,2,3,4,3,4,3,3
1,49,2,10,1,3,4,4,4,4,4
1,33,5,8,1,3,4,5,4,5,4
1,40,5,4,1,2,3,4,3,3,3
1,49,5,2,2,5,4,5,5,4,4
0,23,2,7,1,2,4,4,4,4,4
0,33,5,8,1,3,3,2,3,3,4
0,59,6,12,2,4,2,3,4,2,3
1,37,4,7,2,2,3,3,3,3,2
0,72,5,NA,1,3,2,4,3,1,2
0,55,2,9,2,2,4,4,4,4,4
1,70,2,4,2,2,3,4,4,4,4
0,57,5,15,2,2,3,3,4,2,3
0,77,2,NA,3,2,4,4,4,4,4
1,55,5,8,1,3,3,4,4,3,5
0,65,2,1,1,4,3,3,3,2,4
1,51,2,4,3,1,4,4,3,3,4
1,63,5,12,3,2,3,4,4,2,2
1,51,5,4,3,2,3,3,3,3,4
0,77,5,7,3,3,3,3,2,3,3
1,50,4,1,2,3,5,3,4,1,2
0,65,2,6,1,2,3,4,3,3,4
1,49,NA,NA,1,7,4,4,4,4,3
1,41,3,3,2,2,4,4,4,4,3
0,37,5,11,2,2,2,2,1,2,2
1,46,2,8,1,2,4,4,4,3,3
0,39,5,10,2,2,4,5,5,4,5
1,51,5,10,1,2,4,3,3,3,3
1,53,2,7,3,1,3,4,3,4,4
0,68,6,12,2,4,4,5,5,3,4
1,54,5,12,1,1,3,4,4,3,4
0,22,5,2,1,3,2,3,3,2,3
0,34,5,8,2,5,4,4,4,4,4
0,73,5,6,3,2,3,3,4,2,4
0,53,5,9,1,7,2,4,2,2,3
0,76,4,6,3,2,3,4,4,3,4
0,36,5,10,2,5,4,4,2,2,5
0,78,5,7,3,2,3,4,4,3,4
0,59,2,11,1,2,4,4,4,4,4
1,20,5,2,1,3,4,4,2,2,4
1,24,5,4,1,2,2,4,4,2,2
1,22,5,2,1,2,3,3,4,3,4
1,64,4,2,2,2,4,4,4,3,3
0,39,5,NA,1,4,4,5,3,5,3
0,53,3,NA,1,2,3,3,3,2,3
1,57,3,9,1,4,4,4,4,4,4
0,48,2,8,1,3,4,4,4,4,4
0,24,5,9,1,5,3,4,5,3,2
1,74,4,3,3,1,3,4,5,3,5
0,25,5,9,1,4,4,4,4,4,4
0,50,5,8,1,2,4,4,4,4,4
0,73,5,7,2,2,2,2,2,2,3
0,61,5,7,1,4,3,4,4,3,3
0,50,5,12,1,4,3,4,4,3,4
1,42,4,6,1,3,3,4,4,3,4
1,42,2,1,2,3,2,3,4,3,3
1,31,2,7,2,3,3,4,4,3,4
0,56,2,NA,2,2,1,1,5,5,1
0,35,5,14,2,1,3,2,4,2,3
1,28,6,9,1,4,4,4,4,4,3
0,48,5,3,1,3,3,3,3,1,4
1,44,3,1,1,1,4,4,3,4,4
0,64,5,8,3,4,3,3,4,3,3
0,38,5,NA,2,2,3,3,5,5,5
0,60,5,NA,3,2,3,4,4,4,2
0,55,2,9,2,3,3,4,4,4,3
1,47,5,11,1,2,4,4,4,4,4
1,71,5,7,1,1,3,3,3,3,3
0,26,5,8,1,4,4,4,4,4,4
1,47,2,6,1,3,3,4,4,4,4
1,36,5,2,2,5,2,4,4,3,4
1,30,5,8,1,3,4,4,3,4,4
0,29,5,10,2,3,4,5,5,5,4
0,71,2,6,2,3,2,3,4,3,4
1,72,4,NA,3,3,4,3,4,2,4
0,57,3,NA,2,1,4,5,4,4,4
1,47,NA,NA,1,5,4,4,4,3,2
0,33,3,6,1,5,3,3,4,2,4
0,24,6,2,1,2,3,4,4,3,4
1,27,5,9,1,4,5,4,4,4,5
1,70,2,3,2,1,4,2,2,3,4
0,45,2,8,1,5,5,4,5,4,5
0,33,2,NA,1,1,3,4,4,4,3
1,27,4,2,2,1,4,4,5,4,2
1,31,5,8,2,2,3,3,3,4,4
0,57,5,11,1,1,1,1,1,1,1
0,61,5,7,2,2,4,4,4,2,4
1,71,2,2,3,1,4,4,4,4,4
0,53,5,15,2,2,4,4,4,4,5
0,25,5,9,1,3,5,4,4,4,3
0,72,5,NA,3,4,4,4,4,4,4
0,64,5,10,1,2,3,4,4,3,4
0,57,2,12,3,4,2,4,4,3,3
0,77,5,8,3,4,2,4,4,2,3
1,34,5,6,2,3,3,3,3,3,3
1,73,5,4,2,2,4,4,4,3,4
0,73,5,6,3,1,3,4,2,3,4
1,75,5,6,3,1,3,4,4,3,4
0,71,5,7,3,2,4,4,4,4,4
0,46,5,6,1,4,4,3,2,4,3
0,63,5,13,3,2,4,4,4,3,3
0,43,5,8,2,3,3,3,3,3,3
1,59,5,8,1,2,3,3,3,3,3
0,39,1,NA,2,3,4,4,3,3,4
1,50,5,NA,1,2,4,4,4,4,4
0,75,2,3,3,3,3,4,4,4,4
0,30,5,9,2,6,5,5,5,5,5
1,40,NA,3,2,2,3,3,3,3,3
1,53,3,7,1,2,2,3,3,3,4
0,65,5,9,2,2,3,4,4,2,4
1,19,2,NA,1,2,4,4,4,2,4
1,50,4,8,1,2,2,3,3,2,4
1,48,6,2,2,2,4,4,4,3,4
0,37,5,9,1,2,3,3,2,3,3
0,44,6,6,1,4,2,3,4,2,3
1,63,2,7,1,4,2,3,3,3,4
0,48,5,9,1,3,4,4,4,4,4
0,42,2,8,1,2,4,4,4,4,3
0,68,5,NA,3,4,4,4,4,4,4
0,57,5,10,1,4,3,2,2,3,3
0,24,5,8,1,5,4,4,4,4,5
0,38,5,NA,2,4,2,4,4,2,4
0,73,5,4,3,1,4,4,4,4,4
1,42,1,1,2,6,5,4,4,4,4
1,65,2,1,3,2,1,3,3,2,3
0,48,5,11,2,4,2,3,4,3,3
1,39,5,9,1,5,4,4,4,4,4
1,76,5,8,2,2,4,4,5,4,4
0,35,6,13,1,3,4,4,5,4,3
0,36,2,11,1,5,1,4,5,2,4
0,74,6,18,3,2,3,3,3,3,3
0,35,3,7,2,3,2,3,2,4,3
0,62,2,1,3,2,3,3,3,3,4
1,74,2,2,3,1,2,3,3,2,4
1,38,5,7,1,2,4,3,3,3,3
1,52,4,4,3,4,4,4,4,4,5
1,49,5,8,2,4,4,4,2,4,2
0,62,3,7,2,2,2,4,4,2,3
0,40,5,10,2,2,3,4,3,3,5
1,27,5,1,1,4,2,4,5,4,5
0,31,2,2,1,5,3,3,3,2,1
0,76,2,6,2,2,3,4,4,3,4
1,22,2,3,1,5,4,4,4,4,4
0,63,5,6,2,1,3,3,3,3,3
1,36,5,5,1,2,4,4,4,4,4
0,56,5,8,2,3,3,3,3,3,5
0,60,5,NA,3,2,4,4,4,4,4
0,40,5,10,2,4,5,5,5,5,3
1,54,4,1,2,3,3,4,4,4,4
1,56,5,NA,3,3,3,3,3,3,3
0,24,5,8,1,3,4,2,5,4,4
1,39,2,7,2,2,3,3,5,3,3
0,54,5,7,1,4,2,3,4,2,3
0,20,NA,NA,1,6,3,4,4,2,2
0,53,4,12,2,1,3,4,3,3,3
1,51,2,10,3,2,3,3,4,1,3
1,55,6,6,2,4,3,3,3,3,3
1,49,4,2,2,2,2,1,4,1,4
0,65,2,9,2,2,3,4,4,3,3
0,39,5,3,1,5,4,5,3,4,2
1,64,6,7,1,2,4,4,4,3,4
1,26,5,7,1,3,3,1,4,1,1
0,34,1,6,1,2,4,3,3,4,4
1,25,5,9,1,2,3,4,4,3,4
0,51,5,10,3,3,4,4,4,2,4
1,24,5,NA,1,5,4,4,4,3,3
1,25,5,6,2,4,3,4,4,4,4
1,47,5,10,2,2,4,4,4,4,4
1,36,5,7,1,2,4,4,5,4,5
1,49,4,NA,1,3,4,4,4,3,3
0,27,5,8,1,6,3,3,4,3,2
1,32,4,6,2,2,4,3,4,3,5
0,49,5,13,2,1,4,4,4,4,4
0,26,5,9,1,4,3,4,3,4,4
1,52,2,4,3,2,1,3,3,2,3
1,28,5,3,2,2,4,5,5,3,4
1,65,2,6,1,2,4,4,4,3,4
1,66,6,1,3,2,4,5,5,4,5
1,49,4,8,2,3,3,3,3,2,4
0,39,6,11,1,3,3,4,4,4,4
1,75,2,2,3,3,2,3,4,3,3
0,77,6,8,3,1,4,4,4,3,3
0,66,2,7,1,1,4,4,3,3,4
1,61,4,6,3,2,3,3,4,3,4
0,63,5,NA,2,5,3,4,4,3,3
0,27,2,8,1,2,4,4,3,4,4
0,24,5,2,1,3,5,4,4,2,4
0,79,2,4,2,2,3,3,4,3,3
0,55,5,NA,1,2,3,3,3,3,3
1,57,2,3,3,4,3,4,3,4,3
0,77,2,6,2,2,4,4,3,4,4
0,40,6,NA,2,2,3,4,4,3,4
0,76,5,NA,3,1,3,4,4,3,4
0,25,5,8,1,5,3,4,4,5,4
1,22,5,3,1,5,3,3,4,3,4
0,60,2,10,2,2,3,4,4,3,3
0,59,5,16,2,3,4,5,5,3,1
0,27,2,1,1,7,3,4,4,4,4
1,51,2,4,2,2,4,3,3,4,4
1,65,4,8,1,3,2,4,4,3,2
1,27,2,8,2,2,5,2,2,3,2
1,69,4,3,3,2,3,4,4,3,3
0,45,5,11,2,2,4,4,4,3,4
1,60,2,1,2,2,3,4,4,4,5
0,59,5,NA,2,4,3,3,4,4,3
0,75,5,7,3,2,3,4,4,2,3
0,60,5,12,2,3,3,3,3,2,2
0,59,2,13,3,3,1,3,3,1,3
1,22,2,7,1,7,3,5,5,3,5
0,30,2,NA,1,4,4,4,4,3,3
1,38,5,8,2,4,4,5,5,4,4
1,42,4,3,2,5,4,4,4,4,3
1,39,5,6,1,2,1,3,4,2,2
0,35,2,8,2,5,3,2,3,4,4
0,67,5,18,2,2,4,4,4,3,4
1,62,2,5,3,2,4,4,4,3,4
1,63,2,2,3,1,3,4,4,1,5
1,26,5,8,1,2,4,4,2,3,4
0,27,5,6,1,7,4,4,4,4,4
1,52,2,7,1,2,3,3,3,3,3
1,31,5,8,1,4,3,3,4,3,3
0,36,5,NA,2,5,3,3,3,3,3
0,52,5,15,1,2,4,4,4,4,4
0,26,5,9,1,2,4,3,4,4,4
0,66,5,10,3,3,4,4,3,4,4
1,52,4,NA,2,2,4,3,4,3,4
0,23,5,4,1,5,3,4,4,4,4
0,42,2,8,1,4,1,1,1,1,5
1,31,5,NA,1,5,4,5,5,4,4
0,33,5,12,2,4,3,3,3,3,3
1,46,5,4,1,5,3,4,4,4,4
0,27,2,11,2,6,5,4,4,4,4
1,66,2,2,3,2,2,3,3,4,2
0,28,5,6,1,7,2,2,2,2,2
1,42,2,2,2,2,1,2,4,2,2
1,43,5,3,1,4,2,3,2,2,3
1,46,3,6,2,2,3,4,4,3,4
1,27,3,1,2,2,2,2,2,2,2
0,58,3,NA,3,3,3,4,4,3,4
0,45,5,11,2,2,3,4,4,3,4
1,65,4,4,2,2,3,4,3,3,4
0,70,5,6,3,5,2,3,4,3,2
1,39,2,7,1,1,4,4,4,3,4
1,54,4,5,2,4,2,4,4,4,3
1,43,5,9,1,1,3,5,5,3,4
1,34,2,6,2,4,4,4,4,4,4
0,29,5,6,1,2,1,4,4,3,3
0,36,2,7,1,7,1,3,3,1,2
0,53,5,NA,1,2,5,5,5,4,4
1,25,5,7,1,2,4,4,4,4,4
1,73,5,4,3,2,4,4,4,4,4
1,42,5,4,1,4,5,5,5,4,4
1,55,2,1,1,3,3,3,4,3,3
1,36,4,6,2,3,5,5,5,4,5
1,72,5,13,1,2,4,4,4,4,5
0,72,5,8,1,2,3,4,4,3,4
1,77,2,4,2,2,3,4,3,3,4
0,58,2,NA,2,3,2,3,3,3,4
1,51,5,NA,1,1,5,4,4,4,4
1,76,2,6,2,3,3,3,3,4,4
1,48,2,5,2,2,4,4,3,4,4
1,41,2,1,2,3,3,3,3,3,3
1,24,5,7,1,3,1,1,1,1,1
0,27,5,8,1,4,4,4,4,4,4
0,26,5,2,1,4,3,3,3,2,3
0,47,6,9,1,3,1,2,3,2,3
0,24,5,6,1,5,3,4,5,4,5
0,60,5,15,1,3,3,3,3,3,3
0,47,6,13,2,3,3,3,3,2,4
1,69,5,2,3,2,3,3,3,3,3
1,56,4,7,3,1,3,4,4,2,4
1,64,4,3,3,4,2,4,4,2,4
1,70,5,1,2,1,3,3,3,3,3
0,60,3,9,3,2,4,4,4,4,4
0,70,5,7,3,2,2,4,4,3,3
1,24,NA,NA,1,2,3,3,4,4,4
1,67,4,NA,1,4,3,3,4,3,3
1,27,5,4,1,5,3,4,4,3,4
1,28,5,6,1,3,4,4,4,4,4
0,29,5,13,1,6,3,4,4,4,4
0,29,5,9,1,5,4,4,4,4,4
0,46,5,NA,1,1,3,3,3,3,3
1,49,5,7,3,3,5,5,5,5,5
1,60,2,6,3,2,3,3,4,2,4
0,50,2,6,1,1,3,3,3,3,3
1,74,2,3,3,2,3,4,4,4,4
0,73,5,7,3,2,4,4,4,3,4
1,30,2,7,1,2,2,4,4,2,2
0,31,5,1,1,4,3,3,3,3,3
1,38,5,NA,1,1,4,4,4,4,4
1,54,2,7,1,2,3,3,3,3,3
0,53,2,1,1,2,2,3,3,1,2
1,34,5,NA,1,3,3,3,3,3,3
0,37,6,9,1,6,2,4,4,2,4
1,53,4,NA,1,7,3,4,4,2,2
0,62,5,12,3,2,3,4,4,4,4
0,63,5,13,2,2,3,4,3,3,3
0,67,5,NA,1,3,4,4,4,4,4
1,61,2,3,3,2,4,3,5,4,3
1,59,4,3,2,2,2,4,2,2,4
0,74,5,9,3,1,2,4,4,3,3
0,26,2,2,1,3,4,4,4,3,4
1,55,5,NA,1,1,2,3,3,2,2
1,39,2,4,2,2,2,4,3,2,4
1,56,4,NA,2,2,4,4,4,4,4
0,26,2,1,1,3,4,3,5,3,2
0,79,5,7,2,1,3,3,3,3,3
0,39,2,10,2,2,2,4,4,2,4
1,70,5,1,3,2,3,4,4,3,4
1,38,2,6,1,3,4,4,3,4,3
1,67,4,1,2,1,3,4,4,3,4
0,29,5,9,2,4,3,4,3,4,3
0,57,5,8,1,2,2,3,3,3,2
0,37,1,1,1,4,2,3,3,2,4
1,53,4,4,2,4,2,5,4,3,4
1,43,2,2,1,4,4,3,4,3,4
0,41,5,NA,2,3,2,5,5,4,4
0,26,6,9,1,6,5,4,5,4,4
1,52,4,1,1,3,3,4,3,3,4
0,33,2,9,2,5,3,5,5,4,4
1,33,5,NA,2,2,3,4,3,3,4
0,24,5,6,1,3,3,3,3,3,3
1,73,4,5,1,2,1,2,3,2,4
0,24,1,2,1,4,3,5,4,4,4
1,55,2,6,2,4,3,4,3,3,4
0,42,3,1,1,3,3,3,3,3,3
1,45,3,4,2,5,4,4,4,4,4
0,52,2,8,2,2,4,4,3,3,4
0,68,5,7,1,2,5,5,5,5,5
0,65,5,13,1,1,3,4,4,3,4
0,26,2,7,1,4,4,4,4,4,4
0,23,5,3,1,5,4,4,5,5,2
1,25,5,7,1,5,2,4,4,1,2
0,46,3,9,2,3,2,4,5,3,2
0,43,6,13,2,2,3,5,5,4,4
0,21,5,3,1,4,3,4,4,4,4
0,20,5,3,1,6,2,3,3,2,2
0,73,5,NA,1,1,1,1,2,3,2
0,28,2,7,1,5,4,3,4,3,4
0,55,2,7,3,2,3,3,3,3,3
0,72,5,8,1,3,3,4,4,3,4
0,51,3,1,1,1,1,1,1,1,1
0,76,5,NA,3,2,4,4,3,4,4
1,70,4,5,3,2,4,5,4,4,3
0,59,3,9,1,5,5,4,4,4,4
1,62,2,NA,1,1,3,4,4,3,3
0,37,1,10,1,4,4,4,4,5,4
1,38,4,1,2,2,4,4,4,4,4
1,49,5,9,2,2,4,4,4,4,4
1,38,5,1,1,6,1,3,3,2,2
1,65,2,8,3,2,4,4,4,4,4
0,25,2,7,1,6,4,4,4,4,4
0,28,5,8,1,5,4,4,4,4,4
0,28,4,7,1,4,3,5,4,4,4
0,76,5,7,3,2,5,5,4,3,4
0,38,5,8,1,5,4,4,4,3,4
0,57,5,14,2,4,5,4,4,5,4
0,59,5,9,1,4,3,3,4,3,4
1,73,2,3,1,1,2,2,3,1,3
1,56,1,3,1,2,2,2,2,2,3
0,28,5,8,1,6,3,4,4,5,5
1,53,5,10,2,4,3,3,4,3,4
0,69,6,14,1,2,1,2,5,1,1
0,71,5,6,2,2,2,4,3,2,3
0,64,5,3,3,6,1,1,1,1,1
0,59,5,NA,1,3,3,5,5,3,2
0,28,5,10,1,4,4,4,2,4,3
1,67,5,3,3,3,2,4,3,2,4
0,59,5,9,1,4,4,4,3,4,4
1,26,5,7,1,4,3,3,3,3,3
0,48,5,11,2,7,4,4,4,4,4
1,27,5,8,2,2,3,5,4,2,3
0,26,5,NA,1,5,4,3,5,2,3
0,26,6,NA,1,1,5,5,4,4,4
1,61,5,2,3,3,3,4,3,3,3
1,71,4,6,2,2,3,3,4,3,3
0,25,5,9,1,4,4,4,4,4,4
0,60,5,12,3,3,2,3,4,3,2
0,64,5,9,3,4,4,4,4,4,3
0,36,2,NA,1,6,3,3,4,4,3
1,51,6,11,1,1,4,5,5,4,4
0,45,2,7,1,2,3,4,4,3,5
0,20,5,NA,1,3,3,4,4,3,4
1,72,5,NA,2,2,5,5,4,4,5
1,75,5,6,3,3,4,4,4,4,4
1,70,5,3,1,2,2,2,4,2,4
0,28,5,8,1,4,3,3,3,3,3
1,46,5,1,1,2,3,3,4,1,3
0,73,2,7,3,7,1,1,1,1,4
1,72,5,NA,1,2,2,3,3,2,4
0,28,2,4,1,7,3,3,3,3,4
0,42,5,13,1,7,3,3,3,3,3
1,34,2,6,1,4,4,4,4,3,4
0,23,5,8,1,5,3,5,5,4,5
0,39,5,7,1,2,3,4,4,4,3
0,59,4,11,3,2,5,5,5,5,4
1,59,2,4,2,1,3,4,3,3,2
0,61,2,8,1,1,2,3,3,1,4
0,28,2,10,1,5,4,4,4,3,4
1,54,4,7,2,2,4,3,3,4,4
0,75,5,4,1,1,1,2,3,2,2
1,48,5,1,1,2,4,4,4,3,4
0,42,5,5,1,5,4,4,4,3,4
0,70,5,12,3,1,3,4,4,3,4
1,52,2,7,1,1,4,4,4,4,4
0,27,2,1,1,5,1,1,1,1,1
0,22,5,3,1,2,2,4,4,2,2
1,26,5,7,1,4,3,4,4,4,4
0,64,6,7,3,3,3,4,4,3,3
1,53,5,6,2,1,3,3,3,3,4
0,73,5,9,3,2,3,4,4,2,4
0,38,6,6,3,3,5,4,4,5,4
1,64,4,7,3,6,3,5,4,4,5
0,45,5,11,2,3,4,4,5,4,4
1,37,1,2,2,5,3,4,5,4,4
1,61,4,1,2,2,2,3,3,2,2
1,45,5,6,2,2,2,5,5,2,3
1,64,2,5,2,6,3,3,3,3,3
1,53,2,7,2,2,4,4,4,4,4
1,54,2,NA,1,2,2,4,4,2,4
0,32,5,9,1,5,3,3,3,2,3
1,52,5,NA,1,2,3,4,5,4,4
1,71,6,11,3,1,2,4,4,2,4
1,37,2,1,1,2,1,4,3,1,2
0,46,2,8,1,3,5,4,4,3,3
0,56,5,12,2,4,3,4,4,3,4
0,55,1,5,1,4,4,4,4,4,4
1,43,2,7,1,4,1,2,2,2,3
1,50,4,1,2,5,3,4,4,3,4
1,75,2,4,2,2,3,4,3,3,2
1,70,NA,1,3,2,2,3,3,3,4
1,43,5,9,1,2,3,4,4,4,2
0,63,5,6,1,2,4,4,4,4,4
1,27,4,9,1,4,2,3,2,1,2
0,42,5,1,1,5,3,3,3,3,3
1,25,3,7,1,6,4,4,4,4,4
0,46,2,8,1,2,3,4,3,3,3
1,68,4,3,3,2,3,2,3,2,3
0,69,5,7,3,5,4,4,4,4,4
0,75,2,7,1,2,3,3,4,3,3
0,55,5,14,2,2,3,4,4,3,3
0,49,3,3,1,3,4,2,4,3,3
1,57,4,4,3,2,3,4,4,4,3
0,21,5,2,1,4,3,4,4,3,3
0,22,3,7,1,3,2,3,1,2,3
1,58,1,NA,1,1,3,3,3,3,3
1,71,2,1,3,1,3,3,3,3,3
1,28,5,1,1,1,5,5,3,5,2
0,72,4,6,3,1,3,4,4,3,2
0,63,5,9,2,2,2,3,2,3,2
1,36,5,6,1,1,4,3,3,3,4
0,26,6,3,1,5,2,4,4,2,2
0,37,NA,NA,1,7,1,4,5,1,4
1,58,2,1,2,2,4,4,4,4,4
0,58,5,7,3,1,3,4,3,3,4
0,58,2,9,2,1,4,4,4,4,4
0,59,5,10,2,2,2,3,3,3,3
0,26,5,8,1,5,5,5,5,5,5
1,44,2,1,1,1,3,3,4,3,3
0,63,2,4,1,2,3,4,4,3,3
1,21,5,3,1,2,4,5,4,4,4
0,50,5,9,1,1,3,4,4,4,4
0,65,6,6,1,3,3,4,4,4,4
0,62,5,9,2,4,3,3,4,3,4
0,26,6,9,1,5,2,5,4,3,4
1,33,5,7,2,4,4,3,3,4,3
1,41,3,3,1,5,4,4,5,3,5
1,31,2,1,2,3,4,3,3,4,3
0,65,5,7,3,2,4,3,4,3,3
1,54,6,13,1,2,3,4,5,4,3
0,79,2,NA,3,2,3,4,4,4,4
1,41,3,2,1,3,3,5,5,4,2
0,32,2,7,1,7,5,5,5,5,4
0,65,5,6,2,3,1,2,3,1,2
0,43,2,7,1,2,4,4,4,4,4
0,23,5,7,1,5,4,5,4,5,4
0,70,3,6,3,1,4,4,4,3,4
0,75,5,11,3,1,3,4,3,3,3
0,69,2,9,2,1,5,4,4,4,4
1,24,NA,1,2,3,3,3,3,2,4
0,56,4,2,1,2,3,4,4,3,3
1,75,2,NA,3,1,2,3,4,2,3
1,43,2,3,3,4,3,3,3,4,4
0,58,5,7,1,1,3,3,3,3,3
0,70,2,6,3,2,2,3,2,3,2
0,53,2,5,1,5,2,1,1,1,3
0,36,2,4,1,3,4,4,4,4,4
0,57,5,16,2,3,4,4,4,4,4
1,63,5,2,3,2,4,5,5,4,5
